Error Distribution Results
Graph Size: 50
Number of Instances: 50
Population Size: 5
Generation: 250

Error Statistics:
Mean Error: 0.2909
Std Error: 0.4256
Mean Relative Error: 3.89%
Max Relative Error: 38.72%

Instance  GA             Exact          Error          Relative Error %
0         10.53          10.53          0.00           0.00           
1         9.04           8.84           0.21           2.33           
2         8.93           8.80           0.13           1.43           
3         8.85           8.85           0.00           0.00           
4         8.41           7.44           0.97           13.10          
5         9.07           9.07           0.00           0.00           
6         7.40           7.40           0.00           0.00           
7         7.81           6.70           1.11           16.54          
8         8.99           8.67           0.33           3.77           
9         10.56          10.19          0.37           3.59           
10        8.36           8.36           0.00           0.00           
11        7.50           7.38           0.13           1.72           
12        6.29           6.29           0.00           0.00           
13        7.99           7.99           0.00           0.00           
14        7.67           7.67           0.00           0.00           
15        9.78           9.34           0.44           4.72           
16        7.23           7.23           0.00           0.00           
17        7.21           7.21           0.00           0.00           
18        5.37           5.37           0.00           0.00           
19        7.84           7.84           0.00           0.00           
20        8.92           8.48           0.44           5.18           
21        8.63           8.63           0.00           0.00           
22        6.86           6.86           0.00           0.00           
23        7.55           7.55           0.00           0.00           
24        8.71           8.51           0.20           2.37           
25        9.14           8.14           1.00           12.27          
26        7.00           7.00           0.00           0.00           
27        7.73           7.73           0.00           0.00           
28        6.79           6.79           0.00           0.00           
29        7.35           5.30           2.05           38.72          
30        7.89           7.89           0.00           0.00           
31        7.74           7.74           0.00           0.00           
32        8.59           8.22           0.37           4.48           
33        8.82           8.82           0.00           0.00           
34        8.28           8.02           0.27           3.32           
35        10.62          9.92           0.70           7.08           
36        8.69           8.13           0.56           6.84           
37        8.03           7.55           0.48           6.39           
38        10.75          10.22          0.53           5.14           
39        7.91           7.31           0.59           8.11           
40        9.29           8.56           0.73           8.48           
41        6.50           6.50           0.00           0.00           
42        9.82           8.63           1.19           13.85          
43        7.65           7.65           0.00           0.00           
44        7.15           6.12           1.03           16.79          
45        7.05           7.01           0.04           0.50           
46        8.79           8.56           0.23           2.69           
47        9.28           9.28           0.00           0.00           
48        9.52           9.05           0.47           5.21           
49        7.66           7.66           0.00           0.00           
