Error Distribution Results
Graph Size: 50
Number of Instances: 50

Error Statistics:
Mean Error: 3.1265
Std Error: 1.6804
Mean Relative Error: 41.59%
Max Relative Error: 129.78%

Instance  GA             Exact          Error          Relative Error %
0         13.10          10.53          2.56           24.32          
1         11.81          7.42           4.38           59.04          
2         11.55          9.62           1.93           20.08          
3         11.28          4.91           6.37           129.78         
4         9.63           8.53           1.10           12.83          
5         10.04          7.16           2.88           40.29          
6         13.42          8.84           4.58           51.80          
7         7.94           7.19           0.75           10.39          
8         14.05          9.09           4.96           54.62          
9         15.08          10.08          5.00           49.61          
10        12.52          8.95           3.57           39.90          
11        13.05          8.16           4.88           59.83          
12        9.58           8.62           0.96           11.19          
13        12.83          9.84           2.99           30.40          
14        9.05           7.79           1.26           16.23          
15        11.71          9.91           1.80           18.22          
16        10.08          9.21           0.87           9.40           
17        10.34          6.97           3.37           48.33          
18        11.09          6.44           4.66           72.33          
19        10.02          5.37           4.66           86.79          
20        11.89          5.21           6.68           128.31         
21        8.93           7.52           1.41           18.80          
22        7.85           7.08           0.77           10.83          
23        11.47          6.17           5.30           85.86          
24        11.32          9.64           1.69           17.51          
25        11.99          8.39           3.61           43.02          
26        9.25           7.60           1.65           21.71          
27        10.99          8.55           2.44           28.61          
28        12.52          7.69           4.83           62.88          
29        11.59          7.58           4.01           52.88          
30        9.95           8.14           1.81           22.29          
31        9.75           7.53           2.22           29.51          
32        11.06          8.55           2.51           29.41          
33        14.19          8.63           5.55           64.33          
34        10.70          6.86           3.84           56.04          
35        13.27          10.55          2.72           25.77          
36        12.68          6.54           6.14           93.98          
37        13.24          9.18           4.06           44.20          
38        8.23           7.16           1.07           14.95          
39        10.77          9.62           1.15           11.95          
40        9.87           8.29           1.58           19.03          
41        11.20          10.53          0.67           6.37           
42        12.29          7.97           4.32           54.22          
43        11.64          8.41           3.23           38.37          
44        9.61           6.90           2.71           39.34          
45        13.15          8.86           4.29           48.43          
46        11.64          6.33           5.30           83.69          
47        8.68           8.22           0.46           5.60           
48        12.09          8.72           3.38           38.71          
49        12.27          8.91           3.36           37.70          
