Error Distribution Results
Graph Size: 100
Number of Instances: 50

Error Statistics:
Mean Error: 0.6224
Std Error: 0.6368
Mean Relative Error: 9.03%
Max Relative Error: 38.26%

Instance  GA             Exact          Error          Relative Error %
0         7.15           7.05           0.10           1.46           
1         8.42           7.32           1.10           15.01          
2         7.69           7.67           0.02           0.24           
3         7.84           5.67           2.17           38.26          
4         7.46           7.46           0.00           0.00           
5         7.73           7.35           0.38           5.24           
6         7.99           7.40           0.58           7.90           
7         6.83           6.83           0.00           0.00           
8         6.67           6.67           0.00           0.00           
9         7.77           7.77           0.00           0.00           
10        8.79           7.95           0.84           10.59          
11        7.03           7.03           0.00           0.00           
12        8.12           7.71           0.41           5.34           
13        7.89           7.07           0.82           11.53          
14        6.59           6.59           0.00           0.00           
15        7.96           6.49           1.47           22.67          
16        7.05           7.05           0.00           0.00           
17        9.15           7.62           1.52           20.01          
18        5.31           5.30           0.01           0.28           
19        8.34           8.16           0.18           2.26           
20        8.32           6.91           1.41           20.35          
21        7.54           6.66           0.88           13.23          
22        7.85           6.77           1.08           15.94          
23        6.10           6.10           0.00           0.00           
24        7.99           6.76           1.23           18.21          
25        6.64           6.64           0.00           0.00           
26        7.01           7.01           0.00           0.00           
27        7.42           7.42           0.00           0.00           
28        7.85           7.85           0.00           0.00           
29        9.16           7.84           1.33           16.94          
30        8.72           7.70           1.02           13.28          
31        7.63           7.36           0.27           3.64           
32        8.14           6.08           2.06           33.96          
33        8.59           7.84           0.76           9.66           
34        7.13           7.13           0.00           0.00           
35        8.28           7.55           0.73           9.68           
36        8.19           6.42           1.77           27.61          
37        7.35           7.35           0.00           0.00           
38        7.43           6.77           0.66           9.71           
39        6.96           5.58           1.38           24.76          
40        7.11           6.11           1.00           16.39          
41        7.94           7.82           0.12           1.56           
42        8.85           7.90           0.95           12.06          
43        9.24           7.49           1.74           23.26          
44        6.46           6.46           0.00           0.00           
45        6.81           6.81           0.00           0.00           
46        8.25           7.87           0.38           4.86           
47        8.92           7.54           1.38           18.35          
48        8.25           7.37           0.87           11.82          
49        9.22           8.75           0.47           5.32           
