Fitness Progress Results
Population Size: 10
Steps: 500

Generation  Best        Average     Worst       StdDev      
166         11.45       9.19        5.73        1.07        
167         11.45       9.18        5.73        1.08        
168         11.45       9.17        5.73        1.08        
169         11.45       9.16        5.73        1.07        
170         11.45       9.15        5.73        1.07        
171         11.45       9.15        5.73        1.08        
172         11.45       9.15        5.73        1.08        
173         11.45       9.15        5.73        1.07        
174         11.45       9.14        5.73        1.07        
175         11.45       9.14        5.73        1.07        
176         11.45       9.13        5.73        1.08        
177         11.45       9.12        5.73        1.08        
178         11.45       9.11        5.73        1.07        
179         11.45       9.10        5.73        1.06        
180         11.45       9.09        5.73        1.06        
181         11.45       9.09        5.73        1.06        
182         11.25       9.08        5.73        1.05        
183         11.21       9.07        5.73        1.05        
184         11.21       9.07        5.73        1.05        
185         11.21       9.06        5.73        1.04        
186         11.21       9.06        5.73        1.04        
187         11.21       9.05        5.73        1.04        
188         11.21       9.04        5.73        1.04        
189         11.21       9.04        5.73        1.04        
190         11.21       9.03        5.73        1.04        
191         11.21       9.03        5.73        1.04        
192         11.18       9.02        5.73        1.03        
193         11.00       9.02        5.73        1.03        
194         11.00       9.01        5.73        1.04        
195         11.00       9.01        5.73        1.04        
196         11.00       9.00        5.73        1.04        
197         11.00       9.00        5.73        1.04        
198         11.00       9.00        5.73        1.03        
199         11.00       8.98        5.73        1.03        
200         11.00       8.98        5.73        1.03        
201         11.00       8.97        5.73        1.04        
202         11.00       8.97        5.73        1.04        
203         11.00       8.97        5.73        1.03        
204         11.00       8.97        5.73        1.03        
205         11.00       8.96        5.73        1.03        
206         11.00       8.95        5.73        1.04        
207         11.00       8.94        5.73        1.04        
208         11.00       8.93        5.73        1.05        
209         11.00       8.92        5.73        1.04        
210         11.00       8.90        5.73        1.05        
211         11.00       8.90        5.73        1.05        
212         11.00       8.89        5.73        1.05        
213         11.00       8.89        5.73        1.06        
214         11.00       8.88        5.73        1.06        
215         11.00       8.88        5.73        1.06        
216         11.00       8.86        5.73        1.06        
217         11.00       8.85        5.73        1.07        
218         11.00       8.85        5.73        1.07        
219         11.00       8.84        5.73        1.07        
220         11.00       8.83        5.73        1.07        
221         11.00       8.82        5.73        1.07        
222         11.00       8.82        5.73        1.07        
223         11.00       8.81        5.73        1.08        
224         11.00       8.79        5.73        1.09        
225         11.00       8.77        5.73        1.09        
226         11.00       8.77        5.73        1.09        
227         11.00       8.77        5.73        1.09        
228         11.00       8.76        5.73        1.09        
229         11.00       8.76        5.73        1.09        
230         11.00       8.75        5.73        1.09        
231         11.00       8.74        5.73        1.09        
232         11.00       8.74        5.73        1.10        
233         11.00       8.73        5.73        1.10        
234         11.00       8.73        5.73        1.10        
235         11.00       8.73        5.73        1.10        
236         11.00       8.73        5.73        1.10        
237         11.00       8.72        5.73        1.10        
238         11.00       8.72        5.73        1.10        
239         11.00       8.71        5.73        1.10        
240         11.00       8.71        5.73        1.10        
241         11.00       8.70        5.73        1.11        
242         11.00       8.70        5.73        1.11        
243         11.00       8.69        5.73        1.11        
244         11.00       8.69        5.73        1.11        
245         11.00       8.69        5.73        1.11        
246         11.00       8.69        5.73        1.11        
247         11.00       8.68        5.73        1.11        
248         11.00       8.68        5.73        1.11        
249         11.00       8.67        5.73        1.11        
250         11.00       8.67        5.73        1.11        
251         11.00       8.66        5.73        1.11        
252         11.00       8.66        5.73        1.11        
253         11.00       8.66        5.73        1.11        
254         11.00       8.65        5.73        1.11        
255         11.00       8.64        5.73        1.12        
256         11.00       8.64        5.73        1.11        
257         11.00       8.64        5.73        1.11        
258         11.00       8.63        5.73        1.12        
259         11.00       8.62        5.73        1.12        
260         11.00       8.61        5.73        1.11        
261         11.00       8.61        5.73        1.12        
262         11.00       8.60        5.73        1.11        
263         11.00       8.60        5.73        1.11        
264         11.00       8.60        5.73        1.12        
265         11.00       8.59        5.73        1.12        
266         11.00       8.59        5.73        1.12        
267         11.00       8.58        5.73        1.12        
268         11.00       8.57        5.73        1.12        
269         11.00       8.57        5.73        1.12        
270         11.00       8.57        5.73        1.12        
271         11.00       8.57        5.73        1.12        
272         11.00       8.56        5.73        1.12        
273         11.00       8.56        5.73        1.13        
274         11.00       8.56        5.73        1.13        
275         11.00       8.56        5.73        1.13        
276         11.00       8.56        5.73        1.13        
277         11.00       8.56        5.73        1.12        
278         11.00       8.55        5.73        1.12        
279         11.00       8.55        5.73        1.12        
280         11.00       8.55        5.73        1.12        
281         11.00       8.55        5.73        1.12        
282         11.00       8.54        5.73        1.12        
283         11.00       8.54        5.73        1.12        
284         11.00       8.54        5.73        1.12        
285         11.00       8.54        5.73        1.12        
286         11.00       8.53        5.73        1.12        
287         11.00       8.53        5.73        1.11        
288         11.00       8.53        5.73        1.11        
289         11.00       8.53        5.73        1.11        
290         11.00       8.52        5.73        1.11        
291         11.00       8.52        5.73        1.11        
292         11.00       8.52        5.73        1.11        
293         11.00       8.52        5.73        1.11        
294         11.00       8.51        5.73        1.11        
295         11.00       8.51        5.73        1.11        
296         11.00       8.51        5.73        1.11        
297         11.00       8.51        5.73        1.11        
298         11.00       8.51        5.73        1.11        
299         11.00       8.51        5.73        1.11        
300         11.00       8.51        5.73        1.10        
301         11.00       8.51        5.73        1.10        
302         11.00       8.50        5.73        1.10        
303         11.00       8.50        5.73        1.10        
304         11.00       8.50        5.73        1.10        
305         11.00       8.50        5.73        1.10        
306         11.00       8.50        5.73        1.10        
307         11.00       8.50        5.73        1.10        
308         11.00       8.49        5.73        1.10        
309         11.00       8.49        5.73        1.10        
310         11.00       8.49        5.73        1.10        
311         11.00       8.49        5.73        1.10        
312         11.00       8.49        5.73        1.09        
313         11.00       8.49        5.73        1.09        
314         11.00       8.49        5.73        1.09        
315         11.00       8.48        5.73        1.09        
316         11.00       8.48        5.73        1.09        
317         11.00       8.48        5.73        1.09        
318         11.00       8.48        5.73        1.09        
319         11.00       8.48        5.73        1.08        
320         11.00       8.47        5.73        1.08        
321         11.00       8.47        5.73        1.08        
322         11.00       8.47        5.73        1.08        
323         11.00       8.47        5.73        1.08        
324         11.00       8.47        5.73        1.08        
325         11.00       8.47        5.73        1.08        
326         11.00       8.47        5.73        1.08        
327         11.00       8.46        5.73        1.09        
328         11.00       8.46        5.73        1.09        
329         11.00       8.46        5.73        1.08        
330         11.00       8.46        5.73        1.08        
331         11.00       8.46        5.73        1.08        
332         11.00       8.46        5.73        1.08        
333         11.00       8.45        5.73        1.08        
334         11.00       8.45        5.73        1.08        
335         11.00       8.45        5.73        1.08        
336         11.00       8.45        5.73        1.08        
337         11.00       8.45        5.73        1.08        
338         11.00       8.45        5.73        1.08        
339         11.00       8.45        5.73        1.08        
340         11.00       8.44        5.73        1.08        
341         11.00       8.44        5.73        1.08        
342         11.00       8.44        5.73        1.08        
343         11.00       8.44        5.73        1.08        
