Fitness Progress Results
Population Size: 5
Steps: 500

Generation  Best        Average     Worst       StdDev      
0           inf         inf         9.08        nan         
1           16.79       13.84       9.08        1.52        
2           16.26       13.49       9.08        1.43        
3           15.99       13.22       9.08        1.38        
4           15.63       12.97       8.56        1.35        
5           15.46       12.80       8.56        1.32        
6           15.43       12.68       8.56        1.31        
7           15.17       12.53       8.56        1.30        
8           15.17       12.41       8.56        1.27        
9           15.17       12.31       8.56        1.22        
10          15.17       12.18       8.56        1.20        
11          15.17       12.09       8.56        1.16        
12          15.16       11.96       8.56        1.18        
13          14.83       11.85       8.42        1.17        
14          14.26       11.74       8.42        1.12        
15          14.20       11.64       8.42        1.13        
16          13.82       11.52       7.79        1.15        
17          13.82       11.39       7.68        1.16        
18          13.82       11.34       7.68        1.16        
19          13.82       11.26       7.09        1.18        
20          13.82       11.19       7.09        1.19        
21          13.82       11.10       7.09        1.20        
22          13.82       11.05       7.09        1.18        
23          13.79       10.96       7.09        1.18        
24          13.79       10.93       7.09        1.17        
25          13.61       10.85       7.09        1.15        
26          13.61       10.81       7.09        1.14        
27          13.61       10.75       7.09        1.16        
28          13.61       10.69       7.09        1.17        
29          13.44       10.65       7.09        1.17        
30          13.09       10.59       7.09        1.16        
31          12.91       10.54       7.09        1.17        
32          12.91       10.49       7.09        1.18        
33          12.87       10.47       7.09        1.18        
34          12.87       10.40       7.09        1.19        
35          12.87       10.38       7.09        1.20        
36          12.87       10.35       7.09        1.19        
37          12.87       10.32       7.09        1.20        
38          12.87       10.31       7.09        1.19        
39          12.87       10.29       7.09        1.19        
40          12.87       10.26       7.09        1.20        
41          12.87       10.24       7.09        1.21        
42          12.87       10.22       7.09        1.20        
43          12.87       10.18       7.09        1.23        
44          12.87       10.13       7.09        1.23        
45          12.87       10.11       7.09        1.23        
46          12.87       10.04       6.89        1.27        
47          12.87       10.02       6.89        1.27        
48          12.87       9.98        6.89        1.28        
49          12.87       9.94        6.89        1.28        
50          12.87       9.91        6.89        1.28        
51          12.87       9.90        6.89        1.28        
52          12.87       9.87        6.89        1.28        
53          12.87       9.86        6.89        1.28        
54          12.87       9.83        6.89        1.28        
55          12.87       9.82        6.89        1.28        
56          12.87       9.81        6.89        1.27        
57          12.87       9.79        6.89        1.29        
58          12.87       9.77        6.89        1.31        
59          12.87       9.73        6.89        1.33        
