Fitness Progress Results
Population Size: 5
Steps: 250

Generation  Best        Average     Worst       StdDev      
0           18.74       13.60       9.53        1.78        
1           16.65       13.14       9.53        1.48        
2           15.97       12.95       8.89        1.39        
3           15.51       12.74       8.89        1.35        
4           15.26       12.60       8.89        1.29        
5           14.95       12.39       8.89        1.24        
6           14.87       12.28       8.89        1.19        
7           14.87       12.18       8.89        1.18        
8           14.54       12.07       8.89        1.17        
9           14.50       11.98       8.89        1.16        
10          14.50       11.89       7.96        1.16        
11          14.34       11.77       7.96        1.11        
12          14.34       11.72       7.96        1.09        
13          14.34       11.66       7.96        1.08        
14          14.30       11.59       7.96        1.06        
15          14.00       11.54       7.96        1.06        
16          13.67       11.50       7.96        1.03        
17          13.66       11.44       7.96        1.00        
18          13.44       11.39       7.96        0.97        
19          13.44       11.36       7.96        0.96        
20          13.44       11.32       7.96        0.98        
21          13.33       11.26       7.96        0.97        
22          13.17       11.24       7.96        0.95        
23          13.11       11.18       7.96        0.93        
24          12.98       11.11       7.80        0.94        
25          12.98       11.07       7.80        0.96        
26          12.98       11.04       7.80        0.95        
27          12.95       11.00       7.80        0.93        
28          12.95       10.99       7.80        0.93        
29          12.95       10.95       7.80        0.95        
30          12.89       10.89       7.80        0.94        
31          12.81       10.83       7.80        0.92        
32          12.81       10.80       7.80        0.92        
33          12.81       10.77       7.80        0.90        
34          12.81       10.74       7.80        0.90        
35          12.81       10.69       7.80        0.91        
36          12.40       10.64       7.80        0.90        
37          12.21       10.58       7.80        0.90        
38          12.21       10.55       7.51        0.91        
39          12.21       10.49       7.51        0.94        
40          12.21       10.45       7.51        0.94        
41          12.19       10.42       7.51        0.94        
42          12.19       10.41       7.51        0.94        
43          12.19       10.40       7.51        0.94        
44          12.17       10.35       5.35        0.99        
45          12.17       10.33       5.35        1.00        
46          12.17       10.32       5.35        1.00        
47          12.17       10.29       5.35        1.01        
48          12.17       10.27       5.35        1.00        
49          12.17       10.26       5.35        0.99        
50          12.17       10.23       5.35        0.99        
51          12.17       10.20       5.35        1.00        
52          12.17       10.17       5.35        1.01        
53          12.17       10.14       5.35        1.01        
54          12.17       10.10       5.35        1.01        
55          12.17       10.08       5.35        1.01        
56          12.17       10.06       5.35        1.00        
57          12.17       10.04       5.35        1.00        
58          12.17       10.01       5.35        0.99        
59          12.17       9.99        5.35        0.98        
