Fitness Progress Results
Population Size: 20
Steps: 250

Generation  Best        Average     Worst       StdDev      
0           inf         inf         7.41        nan         
1           inf         inf         7.41        nan         
2           17.52       13.76       7.41        1.53        
3           17.14       13.65       7.41        1.49        
4           16.78       13.56       7.41        1.43        
5           16.48       13.48       7.41        1.40        
6           16.17       13.39       7.41        1.36        
7           16.04       13.31       7.41        1.35        
8           15.80       13.25       7.41        1.33        
9           15.75       13.16       7.41        1.32        
10          15.66       13.07       7.41        1.32        
11          15.46       13.01       7.41        1.30        
12          15.46       12.97       7.41        1.28        
13          15.46       12.91       7.41        1.28        
14          15.39       12.84       7.41        1.27        
15          15.28       12.79       7.41        1.27        
16          15.24       12.74       7.41        1.25        
17          15.19       12.70       7.41        1.24        
18          15.19       12.63       7.41        1.23        
19          15.19       12.57       7.41        1.23        
20          15.08       12.53       7.41        1.22        
21          15.05       12.48       7.30        1.21        
22          15.04       12.44       7.30        1.21        
23          14.81       12.39       7.30        1.20        
24          14.81       12.34       7.30        1.20        
25          14.74       12.32       7.30        1.19        
26          14.67       12.27       7.30        1.19        
27          14.25       12.24       7.30        1.18        
28          14.25       12.21       7.30        1.17        
29          14.25       12.17       7.30        1.16        
30          14.25       12.13       7.30        1.16        
31          14.25       12.10       7.30        1.16        
32          14.13       12.08       7.30        1.15        
33          14.13       12.06       7.30        1.14        
34          14.12       12.02       7.30        1.14        
35          14.12       11.99       7.30        1.13        
36          14.12       11.96       7.30        1.12        
37          14.10       11.94       7.30        1.11        
38          14.10       11.91       7.30        1.11        
39          14.10       11.88       7.30        1.10        
40          14.10       11.86       7.30        1.10        
41          14.10       11.82       7.30        1.10        
42          14.10       11.80       7.30        1.10        
43          14.04       11.77       7.30        1.09        
44          14.04       11.76       7.30        1.08        
45          14.04       11.74       7.30        1.08        
46          14.04       11.72       7.30        1.07        
47          14.04       11.70       7.30        1.06        
48          14.04       11.68       7.30        1.06        
49          13.92       11.66       7.30        1.05        
50          13.88       11.64       7.30        1.05        
51          13.88       11.60       7.30        1.05        
52          13.74       11.59       7.30        1.04        
53          13.72       11.57       7.30        1.04        
54          13.70       11.55       7.30        1.04        
55          13.69       11.53       7.30        1.03        
56          13.69       11.51       7.30        1.02        
57          13.65       11.49       7.30        1.02        
58          13.60       11.47       7.30        1.02        
59          13.57       11.46       7.30        1.01        
60          13.34       11.44       7.30        1.01        
61          13.22       11.42       7.30        1.01        
62          13.22       11.39       6.99        1.01        
63          13.19       11.37       6.99        1.01        
64          13.19       11.35       6.99        1.01        
