Fitness Progress Results
Population Size: 10
Steps: 250

Generation  Best        Average     Worst       StdDev      
0           inf         inf         8.01        nan         
1           18.51       13.81       8.01        1.60        
2           17.23       13.59       8.01        1.53        
3           16.54       13.43       8.01        1.47        
4           16.48       13.31       8.01        1.43        
5           16.30       13.19       8.01        1.39        
6           15.66       13.04       8.01        1.34        
7           15.51       12.96       8.01        1.34        
8           15.33       12.84       8.01        1.33        
9           15.30       12.73       8.01        1.31        
10          15.07       12.63       8.01        1.27        
11          15.07       12.55       8.01        1.26        
12          15.07       12.52       8.01        1.24        
13          15.02       12.43       8.01        1.22        
14          14.78       12.37       8.01        1.20        
15          14.78       12.33       8.01        1.17        
16          14.78       12.28       8.01        1.16        
17          14.78       12.22       8.01        1.16        
18          14.55       12.14       8.01        1.16        
19          14.44       12.09       8.01        1.14        
20          14.19       12.01       8.01        1.15        
21          14.19       11.96       8.01        1.14        
22          14.07       11.91       8.01        1.12        
23          14.07       11.85       6.72        1.15        
24          14.01       11.80       6.72        1.15        
25          13.92       11.74       6.72        1.16        
26          13.84       11.70       6.72        1.16        
27          13.84       11.65       6.28        1.17        
28          13.84       11.60       6.28        1.18        
29          13.84       11.55       6.28        1.19        
30          13.81       11.52       6.28        1.18        
31          13.80       11.48       6.28        1.17        
32          13.76       11.41       6.28        1.19        
33          13.76       11.38       6.28        1.17        
34          13.70       11.35       6.28        1.17        
35          13.70       11.30       6.28        1.18        
36          13.63       11.24       6.28        1.19        
37          13.63       11.21       6.28        1.18        
38          13.63       11.17       6.28        1.19        
39          13.63       11.15       6.28        1.18        
40          13.59       11.12       6.28        1.18        
41          13.59       11.07       6.28        1.17        
42          13.59       11.01       6.28        1.17        
43          13.52       10.96       6.28        1.18        
44          13.52       10.93       6.28        1.18        
45          13.49       10.89       6.28        1.17        
46          13.49       10.86       6.28        1.18        
47          13.49       10.85       6.28        1.17        
48          13.49       10.83       6.28        1.17        
49          13.49       10.80       6.28        1.19        
50          13.47       10.76       6.28        1.18        
51          13.18       10.74       6.28        1.17        
52          13.14       10.69       6.28        1.16        
53          13.14       10.66       6.28        1.16        
