Fitness Progress Results
Population Size: 10
Steps: 500

Generation  Best        Average     Worst       StdDev      
166         11.87       9.65        5.77        0.97        
167         11.87       9.65        5.77        0.97        
168         11.87       9.64        5.77        0.97        
169         11.87       9.63        5.77        0.97        
170         11.87       9.63        5.77        0.97        
171         11.87       9.62        5.77        0.97        
172         11.87       9.62        5.77        0.97        
173         11.87       9.62        5.77        0.97        
174         11.87       9.62        5.77        0.97        
175         11.87       9.61        5.77        0.97        
176         11.87       9.60        5.77        0.96        
177         11.87       9.60        5.77        0.96        
178         11.87       9.59        5.77        0.97        
179         11.87       9.58        5.77        0.97        
180         11.87       9.57        5.77        0.98        
181         11.87       9.57        5.77        0.98        
182         11.87       9.56        5.77        0.98        
183         11.87       9.55        5.77        0.98        
184         11.87       9.54        5.77        0.99        
185         11.87       9.54        5.77        0.99        
186         11.87       9.54        5.77        0.99        
187         11.87       9.52        5.77        0.99        
188         11.87       9.52        5.77        0.99        
189         11.87       9.50        5.77        1.00        
190         11.87       9.50        5.77        1.00        
191         11.87       9.49        5.77        1.00        
192         11.87       9.48        5.77        1.00        
193         11.87       9.48        5.77        1.00        
194         11.87       9.48        5.77        1.00        
195         11.87       9.48        5.77        1.00        
196         11.87       9.48        5.77        1.00        
197         11.87       9.48        5.77        0.99        
198         11.87       9.48        5.77        0.99        
199         11.87       9.47        5.77        0.99        
200         11.87       9.47        5.77        0.99        
201         11.87       9.46        5.77        1.00        
202         11.87       9.45        5.77        1.00        
203         11.87       9.45        5.77        1.00        
204         11.57       9.45        5.77        0.99        
205         11.57       9.44        5.77        0.99        
206         11.57       9.44        5.77        0.99        
207         11.57       9.44        5.77        0.99        
208         11.57       9.44        5.77        0.99        
209         11.57       9.44        5.77        0.98        
210         11.57       9.44        5.77        0.98        
211         11.49       9.43        5.77        0.98        
212         11.49       9.43        5.77        0.98        
213         11.49       9.43        5.77        0.98        
214         11.49       9.43        5.77        0.98        
215         11.49       9.43        5.77        0.98        
216         11.49       9.43        5.77        0.98        
217         11.49       9.42        5.77        0.98        
218         11.49       9.42        5.77        0.98        
219         11.49       9.42        5.77        0.98        
220         11.49       9.42        5.77        0.99        
221         11.49       9.42        5.77        0.99        
222         11.49       9.42        5.77        0.98        
223         11.49       9.41        5.77        0.99        
224         11.49       9.41        5.77        0.99        
225         11.49       9.40        5.77        0.99        
226         11.49       9.40        5.77        0.98        
227         11.49       9.40        5.77        0.98        
228         11.49       9.39        5.77        0.98        
229         11.49       9.39        5.77        0.98        
230         11.49       9.38        5.77        0.98        
231         11.49       9.38        5.77        0.99        
232         11.49       9.37        5.77        0.99        
233         11.49       9.37        5.77        0.99        
234         11.49       9.37        5.77        0.99        
235         11.49       9.37        5.77        0.99        
236         11.49       9.36        5.77        0.99        
237         11.49       9.36        5.77        0.99        
238         11.49       9.35        5.77        0.98        
239         11.49       9.35        5.77        0.98        
240         11.49       9.34        5.77        0.99        
241         11.49       9.34        5.77        0.99        
242         11.49       9.34        5.77        0.99        
243         11.49       9.34        5.77        0.99        
244         11.49       9.33        5.77        0.99        
245         11.49       9.33        5.77        1.00        
246         11.49       9.32        5.77        0.99        
247         11.49       9.32        5.77        1.00        
248         11.49       9.31        5.77        1.00        
249         11.49       9.31        5.77        1.00        
250         11.49       9.31        5.77        1.00        
251         11.49       9.31        5.77        1.00        
252         11.49       9.30        5.77        1.00        
253         11.49       9.28        4.73        1.02        
254         11.49       9.28        4.73        1.01        
255         11.49       9.28        4.73        1.02        
256         11.49       9.26        4.73        1.02        
257         11.49       9.26        4.73        1.02        
258         11.49       9.26        4.73        1.02        
259         11.49       9.25        4.73        1.02        
260         11.49       9.25        4.73        1.02        
261         11.49       9.24        4.73        1.02        
262         11.48       9.24        4.73        1.02        
263         11.48       9.24        4.73        1.02        
264         11.48       9.24        4.73        1.02        
265         11.48       9.24        4.73        1.02        
266         11.48       9.24        4.73        1.02        
267         11.48       9.23        4.73        1.02        
268         11.48       9.22        4.73        1.02        
269         11.48       9.21        4.73        1.02        
270         11.48       9.21        4.73        1.03        
271         11.48       9.20        4.73        1.03        
272         11.48       9.20        4.73        1.03        
273         11.48       9.20        4.73        1.03        
274         11.48       9.20        4.73        1.03        
275         11.48       9.20        4.73        1.03        
276         11.48       9.20        4.73        1.03        
277         11.48       9.19        4.73        1.03        
278         11.48       9.19        4.73        1.03        
279         11.48       9.19        4.73        1.03        
280         11.48       9.19        4.73        1.03        
281         11.48       9.19        4.73        1.03        
282         11.48       9.19        4.73        1.03        
283         11.48       9.18        4.73        1.03        
284         11.48       9.18        4.73        1.03        
285         11.48       9.18        4.73        1.03        
286         11.48       9.17        4.73        1.03        
287         11.48       9.17        4.73        1.03        
288         11.48       9.17        4.73        1.03        
289         11.48       9.17        4.73        1.04        
290         11.48       9.17        4.73        1.03        
291         11.48       9.16        4.73        1.04        
292         11.48       9.16        4.73        1.04        
293         11.48       9.16        4.73        1.04        
294         11.48       9.16        4.73        1.04        
295         11.48       9.16        4.73        1.04        
296         11.48       9.16        4.73        1.04        
297         11.48       9.15        4.73        1.04        
298         11.48       9.15        4.73        1.04        
299         11.48       9.15        4.73        1.05        
