Fitness Progress Results
Population Size: 5
Steps: 250

Generation  Best        Average     Worst       StdDev      
0           18.08       14.03       9.44        1.66        
1           17.66       13.69       9.44        1.49        
2           16.49       13.42       9.44        1.34        
3           16.19       13.12       9.44        1.26        
4           15.89       12.96       9.44        1.22        
5           15.21       12.74       8.21        1.22        
6           15.04       12.58       8.21        1.19        
7           14.66       12.39       8.21        1.13        
8           14.54       12.25       8.21        1.10        
9           14.54       12.13       8.21        1.10        
10          14.22       12.02       8.21        1.07        
11          14.22       11.91       8.21        1.05        
12          14.11       11.82       8.21        1.05        
13          13.85       11.71       8.21        1.06        
14          13.85       11.61       8.21        1.05        
15          13.73       11.46       7.11        1.11        
16          13.55       11.37       7.11        1.10        
17          13.55       11.27       7.11        1.10        
18          13.55       11.19       7.11        1.12        
19          13.55       11.14       7.11        1.09        
20          13.50       11.06       7.11        1.06        
21          13.50       11.00       7.11        1.06        
22          13.18       10.94       7.11        1.06        
23          13.18       10.87       7.11        1.07        
24          13.18       10.84       7.11        1.06        
25          13.05       10.79       7.11        1.05        
26          12.70       10.73       7.11        1.04        
27          12.64       10.71       7.11        1.03        
28          12.64       10.67       7.11        1.02        
29          12.64       10.62       7.11        1.01        
30          12.64       10.58       7.11        1.02        
31          12.64       10.55       7.11        1.01        
32          12.64       10.51       7.11        1.01        
33          12.35       10.48       7.11        1.01        
34          12.35       10.44       7.11        1.02        
35          12.24       10.42       7.11        1.01        
36          12.15       10.40       7.11        1.00        
37          12.07       10.36       7.11        1.00        
38          12.07       10.34       7.11        1.01        
39          12.07       10.31       6.21        1.03        
40          12.07       10.29       6.21        1.03        
41          12.07       10.25       6.21        1.03        
42          12.07       10.23       6.21        1.02        
43          12.07       10.19       6.21        1.04        
44          12.07       10.13       6.21        1.04        
45          11.86       10.10       6.21        1.03        
46          11.86       10.06       6.21        1.05        
47          11.86       10.03       6.21        1.05        
48          11.86       10.01       6.21        1.06        
49          11.86       9.98        6.21        1.07        
50          11.86       9.95        6.21        1.08        
51          11.86       9.92        6.21        1.08        
52          11.86       9.90        6.21        1.08        
53          11.86       9.87        6.21        1.09        
54          11.86       9.85        6.21        1.09        
55          11.86       9.83        6.21        1.09        
56          11.86       9.82        6.21        1.09        
57          11.86       9.79        6.21        1.11        
58          11.79       9.77        6.21        1.10        
59          11.79       9.76        6.21        1.10        
60          11.79       9.73        6.21        1.11        
61          11.79       9.72        6.21        1.11        
62          11.79       9.69        6.21        1.11        
63          11.79       9.68        6.21        1.11        
64          11.79       9.67        6.21        1.13        
65          11.64       9.64        6.21        1.13        
66          11.64       9.62        6.21        1.12        
67          11.58       9.60        6.21        1.12        
68          11.58       9.58        6.21        1.13        
69          11.58       9.57        6.21        1.13        
70          11.58       9.56        6.21        1.12        
71          11.58       9.54        6.21        1.13        
72          11.58       9.51        6.21        1.12        
73          11.58       9.50        6.21        1.12        
74          11.58       9.50        6.21        1.12        
75          11.58       9.48        6.21        1.11        
76          11.58       9.48        6.21        1.11        
77          11.58       9.47        6.21        1.12        
78          11.58       9.46        6.21        1.12        
79          11.58       9.45        6.21        1.12        
80          11.58       9.45        6.21        1.11        
81          11.58       9.44        6.21        1.12        
82          11.58       9.43        6.21        1.12        
83          11.58       9.40        6.21        1.12        
84          11.58       9.39        6.21        1.12        
85          11.58       9.39        6.21        1.12        
86          11.58       9.37        6.21        1.13        
87          11.58       9.36        6.21        1.12        
88          11.58       9.35        6.21        1.12        
89          11.58       9.34        6.21        1.13        
90          11.58       9.33        6.21        1.13        
91          11.58       9.32        6.21        1.12        
92          11.58       9.31        6.21        1.12        
93          11.58       9.29        6.21        1.13        
94          11.58       9.28        6.21        1.12        
95          11.58       9.28        6.21        1.12        
96          11.58       9.26        6.21        1.12        
97          11.58       9.25        6.21        1.12        
98          11.37       9.23        6.21        1.11        
99          11.37       9.22        6.21        1.11        
100         11.37       9.22        6.21        1.11        
101         11.37       9.22        6.21        1.11        
102         11.37       9.21        6.21        1.11        
103         11.37       9.21        6.21        1.11        
104         11.37       9.20        6.21        1.11        
105         11.37       9.20        6.21        1.11        
106         11.37       9.20        6.21        1.10        
107         11.37       9.20        6.21        1.10        
108         11.37       9.20        6.21        1.10        
109         11.37       9.20        6.21        1.10        
110         11.37       9.19        6.21        1.10        
111         11.37       9.19        6.21        1.10        
112         11.37       9.18        6.21        1.10        
113         11.37       9.18        6.21        1.10        
114         11.37       9.18        6.21        1.10        
115         11.37       9.18        6.21        1.10        
116         11.37       9.17        6.21        1.10        
117         11.37       9.17        6.21        1.10        
118         11.37       9.15        6.21        1.10        
119         11.37       9.15        6.21        1.10        
120         11.37       9.13        6.21        1.11        
121         11.37       9.12        6.21        1.11        
122         11.37       9.12        6.21        1.11        
123         11.37       9.10        6.21        1.11        
124         11.37       9.10        6.21        1.11        
125         11.37       9.09        6.21        1.11        
126         11.37       9.09        6.21        1.11        
127         11.37       9.09        6.21        1.11        
128         11.37       9.08        6.21        1.11        
129         11.37       9.08        6.21        1.11        
130         11.37       9.08        6.21        1.11        
131         11.37       9.08        6.21        1.11        
132         11.37       9.07        6.21        1.11        
133         11.37       9.07        6.21        1.10        
134         11.37       9.06        6.21        1.10        
135         11.37       9.06        6.21        1.10        
136         11.37       9.05        6.21        1.09        
137         11.37       9.04        6.21        1.08        
138         11.37       9.04        6.21        1.08        
139         11.37       9.04        6.21        1.08        
140         11.37       9.03        6.21        1.07        
141         11.37       9.03        6.21        1.07        
142         11.37       9.03        6.21        1.07        
143         11.37       9.02        6.21        1.06        
144         11.37       9.02        6.21        1.06        
145         11.37       9.01        6.21        1.06        
146         11.37       9.01        6.21        1.06        
