Error Distribution Results
Graph Size: 10
Number of Instances: 50

Error Statistics:
Mean Error: 0.0000
Std Error: 0.0000
Mean Relative Error: 0.00%
Max Relative Error: 0.00%

Instance  GA             Exact          Error          Relative Error %
0         11.30          11.30          0.00           0.00           
1         9.35           9.35           0.00           0.00           
2         10.78          10.78          0.00           0.00           
3         17.64          17.64          0.00           0.00           
4         13.93          13.93          0.00           0.00           
5         9.89           9.89           0.00           0.00           
6         8.65           8.65           0.00           0.00           
7         8.06           8.06           0.00           0.00           
8         12.26          12.26          0.00           0.00           
9         8.09           8.09           0.00           0.00           
10        13.31          13.31          0.00           0.00           
11        7.12           7.12           0.00           0.00           
12        8.30           8.30           0.00           0.00           
13        10.91          10.91          0.00           0.00           
14        12.28          12.28          0.00           0.00           
15        7.97           7.97           0.00           0.00           
16        5.87           5.87           0.00           0.00           
17        5.78           5.78           0.00           0.00           
18        9.12           9.12           0.00           0.00           
19        16.21          16.21          0.00           0.00           
20        10.98          10.98          0.00           0.00           
21        15.91          15.91          0.00           0.00           
22        10.92          10.92          0.00           0.00           
23        7.60           7.60           0.00           0.00           
24        12.73          12.73          0.00           0.00           
25        9.65           9.65           0.00           0.00           
26        9.33           9.33           0.00           0.00           
27        12.14          12.14          0.00           0.00           
28        8.69           8.69           0.00           0.00           
29        7.21           7.21           0.00           0.00           
30        6.30           6.30           0.00           0.00           
31        12.56          12.56          0.00           0.00           
32        13.85          13.85          0.00           0.00           
33        11.04          11.04          0.00           0.00           
34        12.74          12.74          0.00           0.00           
35        11.99          11.99          0.00           0.00           
36        12.34          12.34          0.00           0.00           
37        11.01          11.01          0.00           0.00           
38        5.36           5.36           0.00           0.00           
39        9.51           9.51           0.00           0.00           
40        10.35          10.35          0.00           0.00           
41        10.98          10.98          0.00           0.00           
42        10.91          10.91          0.00           0.00           
43        14.10          14.10          0.00           0.00           
44        13.95          13.95          0.00           0.00           
45        10.32          10.32          0.00           0.00           
46        7.37           7.37           0.00           0.00           
47        12.42          12.42          0.00           0.00           
48        8.03           8.03           0.00           0.00           
49        10.11          10.11          0.00           0.00           
