Error Distribution Results
Graph Size: 100
Number of Instances: 50

Error Statistics:
Mean Error: 0.2510
Std Error: 0.3548
Mean Relative Error: 3.49%
Max Relative Error: 26.53%

Instance  GA             Exact          Error          Relative Error %
0         7.05           7.05           0.00           0.00           
1         7.30           5.77           1.53           26.53          
2         6.92           6.92           0.00           0.00           
3         6.94           6.94           0.01           0.08           
4         7.38           6.87           0.51           7.48           
5         7.66           7.66           0.00           0.00           
6         5.86           5.86           0.00           0.00           
7         6.74           6.74           0.00           0.00           
8         8.32           8.29           0.03           0.37           
9         7.42           7.42           0.00           0.00           
10        7.82           7.58           0.24           3.20           
11        8.05           7.81           0.24           3.13           
12        7.61           7.18           0.43           5.99           
13        7.33           6.56           0.77           11.81          
14        5.52           5.52           0.00           0.00           
15        9.24           8.27           0.97           11.74          
16        7.80           7.63           0.17           2.20           
17        9.00           8.43           0.57           6.71           
18        8.46           8.29           0.17           2.04           
19        6.60           6.60           0.00           0.00           
20        7.18           7.10           0.09           1.21           
21        7.65           7.65           0.00           0.00           
22        7.70           7.70           0.00           0.00           
23        8.25           8.25           0.00           0.00           
24        9.91           8.98           0.93           10.38          
25        9.46           9.09           0.37           4.11           
26        7.15           6.70           0.45           6.69           
27        6.38           6.31           0.07           1.19           
28        7.17           7.17           0.00           0.00           
29        7.82           7.82           0.00           0.00           
30        5.72           5.72           0.00           0.00           
31        7.40           7.40           0.00           0.00           
32        6.46           6.28           0.18           2.93           
33        5.63           5.63           0.00           0.00           
34        6.81           6.81           0.00           0.00           
35        8.66           8.17           0.49           6.04           
36        6.26           6.26           0.00           0.00           
37        6.47           6.44           0.03           0.49           
38        8.07           8.02           0.04           0.56           
39        8.41           7.53           0.88           11.69          
40        7.74           7.56           0.18           2.35           
41        7.51           7.05           0.46           6.48           
42        7.07           6.24           0.83           13.27          
43        7.05           6.75           0.30           4.43           
44        6.89           6.89           0.00           0.00           
45        7.68           7.68           0.00           0.00           
46        6.81           6.81           0.00           0.00           
47        8.83           7.80           1.03           13.21          
48        7.49           7.43           0.06           0.78           
49        7.58           7.07           0.51           7.15           
