Error Distribution Results
Graph Size: 50
Number of Instances: 50
Population Size: 50
Generation: 250

Error Statistics:
Mean Error: 0.2350
Std Error: 0.3937
Mean Relative Error: 3.20%
Max Relative Error: 24.11%

Instance  GA             Exact          Error          Relative Error %
0         10.53          10.53          0.00           0.00           
1         5.87           5.87           0.00           0.00           
2         5.53           5.53           0.00           0.00           
3         7.05           6.67           0.38           5.70           
4         8.31           8.28           0.03           0.33           
5         7.29           6.32           0.98           15.43          
6         7.88           7.88           0.00           0.00           
7         8.01           7.40           0.60           8.15           
8         6.73           6.73           0.00           0.00           
9         6.61           6.61           0.00           0.00           
10        5.65           5.65           0.00           0.00           
11        8.40           8.09           0.32           3.92           
12        7.58           7.58           0.00           0.00           
13        5.62           5.62           0.00           0.00           
14        8.21           8.21           0.00           0.00           
15        8.27           8.09           0.18           2.22           
16        7.62           7.62           0.00           0.00           
17        7.80           7.80           0.00           0.00           
18        7.66           7.21           0.45           6.31           
19        8.87           8.86           0.02           0.18           
20        8.29           8.29           0.00           0.00           
21        9.40           9.40           0.00           0.00           
22        9.01           9.01           0.00           0.00           
23        10.10          9.83           0.27           2.71           
24        7.84           7.84           0.00           0.00           
25        7.33           7.33           0.00           0.00           
26        7.51           7.51           0.00           0.00           
27        5.85           5.85           0.00           0.00           
28        6.72           6.72           0.00           0.00           
29        8.91           7.97           0.93           11.69          
30        7.93           7.93           0.00           0.00           
31        9.27           9.27           0.00           0.00           
32        8.53           8.53           0.00           0.00           
33        8.03           6.47           1.56           24.11          
34        7.94           7.94           0.00           0.00           
35        6.66           6.66           0.00           0.00           
36        8.96           8.19           0.76           9.32           
37        8.35           8.35           0.00           0.00           
38        8.30           7.79           0.51           6.54           
39        8.36           7.70           0.66           8.58           
40        7.53           6.67           0.86           12.91          
41        7.07           7.07           0.00           0.00           
42        5.52           5.52           0.00           0.00           
43        6.39           6.39           0.00           0.00           
44        6.03           6.03           0.00           0.00           
45        8.24           7.46           0.77           10.38          
46        8.23           8.08           0.16           1.93           
47        6.93           6.93           0.00           0.00           
48        9.23           7.98           1.25           15.62          
49        8.76           7.69           1.07           13.86          
