Error Distribution Results
Graph Size: 10
Number of Instances: 50

Error Statistics:
Mean Error: 1.9422
Std Error: 1.4899
Mean Relative Error: 24.00%
Max Relative Error: 86.37%

Instance  GA             Exact          Error          Relative Error %
0         15.60          11.30          4.30           38.04          
1         3.80           3.80           0.00           0.00           
2         10.31          9.31           1.01           10.80          
3         11.26          10.39          0.87           8.42           
4         13.73          11.31          2.42           21.44          
5         10.55          10.55          0.00           0.00           
6         14.36          12.41          1.96           15.76          
7         12.56          10.13          2.42           23.93          
8         11.40          8.77           2.63           29.97          
9         13.55          8.68           4.87           56.11          
10        16.01          14.64          1.37           9.36           
11        10.68          8.05           2.63           32.66          
12        7.49           7.49           0.00           0.00           
13        10.11          8.48           1.62           19.13          
14        9.43           9.43           0.00           0.00           
15        11.08          7.28           3.80           52.22          
16        10.68          8.67           2.01           23.19          
17        10.64          9.01           1.62           18.00          
18        8.40           7.29           1.11           15.18          
19        9.37           9.37           0.00           0.00           
20        14.80          13.18          1.62           12.32          
21        13.08          12.67          0.41           3.27           
22        9.04           4.85           4.19           86.37          
23        12.42          12.14          0.28           2.30           
24        9.04           7.20           1.84           25.55          
25        8.32           8.32           0.00           0.00           
26        8.49           5.60           2.89           51.50          
27        15.75          11.11          4.64           41.75          
28        11.12          10.52          0.60           5.75           
29        12.51          9.36           3.15           33.71          
30        15.60          10.89          4.70           43.16          
31        10.82          6.67           4.15           62.14          
32        9.11           7.15           1.96           27.46          
33        6.72           4.71           2.01           42.71          
34        12.94          10.26          2.68           26.18          
35        10.64          9.01           1.62           18.00          
36        11.83          9.87           1.96           19.81          
37        8.55           6.93           1.62           23.43          
38        10.79          10.13          0.67           6.58           
39        9.93           9.37           0.56           6.00           
40        8.48           8.48           0.00           0.00           
41        13.59          8.95           4.65           51.95          
42        12.60          8.09           4.51           55.71          
43        9.74           8.87           0.87           9.87           
44        9.63           8.01           1.62           20.26          
45        11.23          9.28           1.96           21.08          
46        11.46          10.48          0.98           9.36           
47        10.51          10.23          0.28           2.73           
48        7.87           6.03           1.84           30.53          
49        9.04           4.85           4.19           86.37          
