Error Distribution Results
Graph Size: 100
Number of Instances: 50

Error Statistics:
Mean Error: 1.1097
Std Error: 0.8600
Mean Relative Error: 16.97%
Max Relative Error: 111.02%

Instance  GA             Exact          Error          Relative Error %
0         7.05           7.05           0.00           0.00           
1         7.25           6.12           1.13           18.42          
2         7.80           6.56           1.24           18.93          
3         9.52           7.98           1.54           19.31          
4         8.57           7.78           0.79           10.14          
5         9.38           6.23           3.15           50.66          
6         8.17           7.40           0.77           10.36          
7         8.67           8.26           0.41           4.91           
8         8.05           8.05           0.00           0.00           
9         8.69           7.12           1.57           22.12          
10        6.80           5.59           1.21           21.69          
11        9.59           8.61           0.98           11.41          
12        8.82           8.13           0.69           8.53           
13        8.67           6.79           1.88           27.69          
14        8.53           8.29           0.24           2.93           
15        6.69           5.66           1.04           18.32          
16        8.72           7.63           1.10           14.37          
17        8.64           6.45           2.19           33.90          
18        8.01           7.19           0.82           11.42          
19        9.78           7.67           2.11           27.51          
20        8.50           7.45           1.04           14.02          
21        7.60           7.01           0.59           8.47           
22        7.78           6.41           1.37           21.36          
23        9.83           7.91           1.92           24.24          
24        6.17           5.99           0.17           2.89           
25        9.10           7.98           1.13           14.14          
26        8.47           7.63           0.84           11.00          
27        8.85           6.77           2.08           30.66          
28        9.05           6.56           2.48           37.80          
29        7.98           6.97           1.01           14.56          
30        8.94           7.59           1.35           17.78          
31        8.42           6.90           1.52           22.01          
32        7.66           3.63           4.03           111.02         
33        8.11           8.11           0.00           0.00           
34        8.06           7.30           0.76           10.43          
35        7.24           7.24           0.00           0.00           
36        5.30           5.30           0.00           0.00           
37        6.00           6.00           0.00           0.00           
38        8.90           7.04           1.86           26.36          
39        7.89           6.93           0.96           13.89          
40        7.33           6.59           0.73           11.13          
41        8.36           7.94           0.42           5.29           
42        7.26           7.26           0.00           0.00           
43        8.99           6.41           2.58           40.29          
44        7.44           7.40           0.04           0.57           
45        9.28           7.93           1.35           17.00          
46        8.83           8.22           0.61           7.45           
47        10.40          8.82           1.58           17.94          
48        8.73           8.17           0.56           6.84           
49        7.31           5.69           1.62           28.50          
