Error Distribution Results
Graph Size: 50
Number of Instances: 50

Error Statistics:
Mean Error: 1.5590
Std Error: 1.0528
Mean Relative Error: 21.02%
Max Relative Error: 91.81%

Instance  GA             Exact          Error          Relative Error %
0         11.00          10.53          0.47           4.46           
1         8.50           7.55           0.96           12.71          
2         10.03          7.37           2.67           36.18          
3         7.95           7.83           0.12           1.51           
4         7.27           6.41           0.86           13.49          
5         6.22           4.27           1.95           45.55          
6         10.86          10.13          0.74           7.29           
7         10.73          7.29           3.43           47.10          
8         7.54           6.57           0.97           14.70          
9         8.13           8.13           0.00           0.00           
10        10.59          9.16           1.43           15.64          
11        10.82          9.85           0.97           9.88           
12        11.03          6.72           4.31           64.21          
13        10.47          7.94           2.53           31.82          
14        9.55           7.99           1.56           19.56          
15        9.67           8.64           1.02           11.85          
16        8.05           6.89           1.16           16.76          
17        9.71           9.17           0.54           5.90           
18        9.55           7.16           2.39           33.36          
19        11.96          9.33           2.63           28.25          
20        11.64          9.32           2.32           24.92          
21        10.25          8.46           1.80           21.26          
22        8.90           8.11           0.80           9.86           
23        6.94           6.94           0.00           0.00           
24        9.71           9.05           0.66           7.27           
25        8.37           8.37           0.00           0.00           
26        8.20           6.35           1.85           29.12          
27        8.67           7.01           1.66           23.65          
28        11.03          8.30           2.73           32.89          
29        10.50          7.82           2.68           34.32          
30        11.20          9.42           1.78           18.95          
31        10.92          8.99           1.93           21.48          
32        9.08           4.74           4.35           91.81          
33        7.29           7.29           0.00           0.00           
34        10.41          7.94           2.47           31.11          
35        7.76           7.16           0.60           8.34           
36        8.78           7.62           1.16           15.22          
37        10.62          9.72           0.91           9.35           
38        9.51           6.90           2.61           37.78          
39        10.43          8.70           1.74           20.00          
40        10.68          8.24           2.44           29.57          
41        8.43           6.18           2.26           36.52          
42        9.54           7.08           2.46           34.78          
43        10.82          8.30           2.51           30.28          
44        8.52           7.67           0.85           11.10          
45        8.42           7.41           1.01           13.63          
46        9.81           9.22           0.59           6.41           
47        11.91          10.61          1.30           12.26          
48        10.99          9.23           1.76           19.09          
49        8.79           8.79           0.00           0.00           
