Error Distribution Results
Graph Size: 25
Number of Instances: 50

Error Statistics:
Mean Error: 1.0017
Std Error: 0.9714
Mean Relative Error: 12.36%
Max Relative Error: 58.92%

Instance  GA             Exact          Error          Relative Error %
0         11.12          9.97           1.15           11.58          
1         8.30           6.46           1.84           28.47          
2         10.40          9.75           0.65           6.66           
3         10.33          10.05          0.28           2.82           
4         7.34           7.13           0.21           2.95           
5         9.60           9.60           0.00           0.00           
6         5.56           5.33           0.23           4.29           
7         11.51          10.39          1.13           10.86          
8         10.90          10.18          0.72           7.04           
9         11.53          10.68          0.85           7.99           
10        10.36          9.31           1.05           11.26          
11        10.54          9.29           1.26           13.56          
12        7.80           7.23           0.57           7.90           
13        6.22           6.22           0.00           0.00           
14        10.56          8.35           2.21           26.41          
15        10.46          9.81           0.64           6.54           
16        10.60          6.69           3.91           58.49          
17        8.65           7.31           1.34           18.28          
18        8.97           8.07           0.90           11.15          
19        11.97          10.19          1.78           17.49          
20        10.05          9.62           0.43           4.50           
21        8.50           8.50           0.00           0.00           
22        11.39          10.40          0.99           9.54           
23        12.09          11.38          0.71           6.21           
24        10.40          9.34           1.06           11.40          
25        9.84           8.61           1.23           14.30          
26        11.72          10.15          1.57           15.48          
27        9.76           9.76           0.00           0.00           
28        9.70           9.70           0.00           0.00           
29        11.05          10.85          0.20           1.86           
30        10.01          10.01          0.00           0.00           
31        10.64          9.69           0.96           9.89           
32        7.63           6.73           0.91           13.49          
33        10.61          8.65           1.97           22.76          
34        10.27          6.63           3.63           54.76          
35        8.71           7.48           1.24           16.56          
36        9.26           7.91           1.35           17.06          
37        10.46          10.46          0.00           0.00           
38        10.30          6.48           3.82           58.92          
39        11.08          11.08          0.00           0.00           
40        7.70           7.70           0.00           0.00           
41        7.86           6.97           0.89           12.84          
42        9.50           8.46           1.04           12.29          
43        8.08           8.08           0.00           0.00           
44        10.50          8.31           2.19           26.35          
45        10.10          8.97           1.14           12.66          
46        11.68          8.96           2.72           30.36          
47        7.96           7.73           0.23           2.93           
48        11.81          10.72          1.09           10.14          
49        8.47           8.47           0.00           0.00           
