Error Distribution Results
Graph Size: 10
Number of Instances: 50

Error Statistics:
Mean Error: 0.0552
Std Error: 0.2108
Mean Relative Error: 0.52%
Max Relative Error: 12.36%

Instance  GA             Exact          Error          Relative Error %
0         11.30          11.30          0.00           0.00           
1         7.92           7.92           0.00           0.00           
2         7.59           7.59           0.00           0.00           
3         11.06          11.06          0.00           0.00           
4         10.77          10.77          0.00           0.00           
5         12.20          12.20          0.00           0.00           
6         10.57          10.57          0.00           0.00           
7         9.15           9.15           0.00           0.00           
8         8.63           8.63           0.00           0.00           
9         9.32           9.32           0.00           0.00           
10        8.21           7.93           0.28           3.47           
11        7.26           7.26           0.00           0.00           
12        8.58           8.58           0.00           0.00           
13        11.08          11.08          0.00           0.00           
14        10.39          10.19          0.20           1.93           
15        8.06           8.06           0.00           0.00           
16        11.74          11.74          0.00           0.00           
17        10.94          10.94          0.00           0.00           
18        17.98          17.98          0.00           0.00           
19        13.56          13.56          0.00           0.00           
20        12.95          12.95          0.00           0.00           
21        11.68          11.68          0.00           0.00           
22        10.82          10.82          0.00           0.00           
23        10.45          10.45          0.00           0.00           
24        9.99           9.99           0.00           0.00           
25        12.34          12.12          0.22           1.80           
26        9.74           9.74           0.00           0.00           
27        13.93          13.93          0.00           0.00           
28        10.15          10.15          0.00           0.00           
29        13.15          13.15          0.00           0.00           
30        10.69          10.69          0.00           0.00           
31        11.11          9.89           1.22           12.36          
32        7.43           7.43           0.00           0.00           
33        6.71           6.71           0.00           0.00           
34        11.43          11.43          0.00           0.00           
35        12.28          12.28          0.00           0.00           
36        8.04           8.04           0.00           0.00           
37        16.09          16.09          0.00           0.00           
38        8.12           8.12           0.00           0.00           
39        10.37          10.37          0.00           0.00           
40        8.99           8.99           0.00           0.00           
41        3.64           3.64           0.00           0.00           
42        9.07           9.07           0.00           0.00           
43        11.92          11.92          0.00           0.00           
44        8.76           8.76           0.00           0.00           
45        8.97           8.97           0.00           0.00           
46        14.35          13.51          0.85           6.28           
47        11.74          11.74          0.00           0.00           
48        6.90           6.90           0.00           0.00           
49        8.09           8.09           0.00           0.00           
