Error Distribution Results
Graph Size: 400
Number of Instances: 50

Error Statistics:
Mean Error: 1.9987
Std Error: 0.8758
Mean Relative Error: 32.17%
Max Relative Error: 75.29%

Instance  GA             Exact          Error          Relative Error %
0         9.23           6.04           3.19           52.71          
1         9.08           5.79           3.28           56.63          
2         9.45           7.00           2.45           35.00          
3         7.78           6.39           1.40           21.85          
4         8.77           5.93           2.84           47.88          
5         7.97           5.19           2.78           53.46          
6         9.00           6.74           2.25           33.39          
7         8.06           7.19           0.87           12.04          
8         9.02           7.47           1.55           20.82          
9         7.20           6.53           0.67           10.25          
10        7.33           6.72           0.61           9.07           
11        9.10           5.78           3.33           57.57          
12        9.52           6.17           3.35           54.31          
13        7.96           6.95           1.00           14.45          
14        8.58           5.62           2.96           52.65          
15        8.13           6.69           1.44           21.55          
16        8.98           5.87           3.11           53.02          
17        8.78           6.56           2.22           33.87          
18        7.37           6.35           1.03           16.18          
19        8.68           7.32           1.36           18.60          
20        8.38           6.16           2.22           36.08          
21        7.85           6.55           1.30           19.88          
22        9.02           6.90           2.12           30.67          
23        7.56           6.74           0.82           12.11          
24        8.06           6.14           1.91           31.11          
25        8.71           7.18           1.53           21.38          
26        8.53           6.63           1.90           28.65          
27        9.12           6.63           2.49           37.59          
28        8.58           4.96           3.62           72.87          
29        9.31           7.42           1.89           25.42          
30        9.39           5.79           3.60           62.27          
31        9.31           6.22           3.09           49.64          
32        9.10           6.62           2.48           37.51          
33        8.07           6.55           1.52           23.27          
34        7.08           6.31           0.77           12.15          
35        8.75           4.99           3.76           75.29          
36        8.74           6.80           1.94           28.60          
37        8.97           6.44           2.52           39.17          
38        7.97           7.14           0.83           11.56          
39        8.49           6.56           1.93           29.49          
40        9.03           7.18           1.86           25.88          
41        8.67           7.10           1.57           22.17          
42        8.17           7.04           1.13           16.07          
43        8.02           6.65           1.37           20.59          
44        7.65           6.70           0.94           14.06          
45        8.28           6.57           1.71           25.97          
46        8.94           6.09           2.86           46.94          
47        7.79           6.01           1.78           29.61          
48        6.93           5.29           1.64           31.00          
49        8.19           7.04           1.15           16.31          
