Error Distribution Results
Graph Size: 200
Number of Instances: 50

Error Statistics:
Mean Error: 2.5196
Std Error: 0.8497
Mean Relative Error: 38.35%
Max Relative Error: 73.93%

Instance  GA             Exact          Error          Relative Error %
0         7.94           6.42           1.52           23.74          
1         8.97           6.64           2.33           35.07          
2         9.77           6.36           3.41           53.61          
3         9.89           8.04           1.85           23.04          
4         9.50           6.44           3.07           47.63          
5         8.55           6.96           1.59           22.80          
6         8.39           7.06           1.33           18.91          
7         11.01          7.51           3.49           46.51          
8         9.36           6.49           2.88           44.37          
9         10.82          6.90           3.92           56.75          
10        7.48           5.54           1.94           34.98          
11        9.25           6.67           2.58           38.70          
12        9.53           6.64           2.89           43.48          
13        8.68           6.16           2.52           40.93          
14        10.13          6.68           3.45           51.65          
15        9.73           6.95           2.78           40.05          
16        9.74           7.25           2.50           34.43          
17        9.91           6.21           3.70           59.51          
18        8.59           5.23           3.36           64.29          
19        10.19          6.86           3.34           48.64          
20        8.67           7.71           0.96           12.38          
21        8.83           6.18           2.64           42.75          
22        10.39          5.97           4.42           73.93          
23        8.02           7.02           1.00           14.27          
24        9.47           6.82           2.64           38.75          
25        9.47           6.90           2.57           37.28          
26        8.70           6.13           2.57           41.88          
27        9.85           7.39           2.46           33.33          
28        9.51           7.05           2.46           34.87          
29        8.16           7.24           0.92           12.73          
30        9.08           6.40           2.68           41.91          
31        9.59           7.05           2.54           36.03          
32        8.79           5.91           2.87           48.59          
33        9.41           7.16           2.25           31.37          
34        8.37           6.87           1.51           21.94          
35        7.53           7.48           0.05           0.64           
36        9.09           7.09           2.00           28.21          
37        9.58           7.53           2.05           27.27          
38        8.66           7.02           1.64           23.33          
39        9.94           7.10           2.84           40.02          
40        10.21          6.59           3.61           54.79          
41        8.99           6.20           2.79           44.94          
42        9.70           6.70           3.00           44.71          
43        10.03          6.15           3.87           63.00          
44        9.36           6.54           2.82           43.16          
45        9.70           8.05           1.66           20.57          
46        8.46           5.67           2.79           49.10          
47        8.35           5.69           2.66           46.63          
48        8.65           6.24           2.41           38.69          
49        9.83           6.96           2.86           41.13          
