Error Distribution Results
Graph Size: 100
Number of Instances: 50

Error Statistics:
Mean Error: 2.7696
Std Error: 0.9984
Mean Relative Error: 39.72%
Max Relative Error: 76.71%

Instance  GA             Exact          Error          Relative Error %
0         10.34          7.05           3.29           46.66          
1         10.44          6.59           3.85           58.38          
2         9.73           6.51           3.23           49.56          
3         9.68           7.30           2.38           32.62          
4         9.26           6.55           2.71           41.37          
5         11.16          7.02           4.15           59.10          
6         10.20          7.99           2.20           27.56          
7         9.73           7.49           2.24           29.86          
8         10.15          5.74           4.41           76.71          
9         9.65           7.02           2.63           37.51          
10        9.92           6.00           3.93           65.46          
11        9.59           7.25           2.34           32.24          
12        9.59           6.53           3.06           46.79          
13        9.61           7.40           2.21           29.90          
14        8.65           6.40           2.24           35.05          
15        10.98          8.38           2.59           30.94          
16        10.71          7.16           3.56           49.73          
17        9.65           7.46           2.19           29.33          
18        10.75          6.35           4.40           69.36          
19        9.85           7.92           1.92           24.26          
20        9.60           8.22           1.38           16.80          
21        11.59          7.37           4.22           57.27          
22        10.21          6.43           3.77           58.68          
23        10.95          7.44           3.51           47.14          
24        10.78          7.88           2.90           36.84          
25        9.89           8.67           1.22           14.04          
26        8.91           8.14           0.77           9.52           
27        11.31          8.11           3.20           39.48          
28        9.76           7.85           1.91           24.28          
29        10.50          7.30           3.19           43.70          
30        10.33          7.18           3.15           43.88          
31        11.28          7.73           3.56           46.04          
32        10.48          8.30           2.18           26.24          
33        9.45           6.14           3.31           53.99          
34        8.01           5.42           2.59           47.83          
35        11.19          7.66           3.53           46.04          
36        9.76           8.12           1.64           20.19          
37        10.31          7.04           3.27           46.53          
38        9.15           7.76           1.39           17.96          
39        9.76           7.39           2.37           32.13          
40        9.53           6.57           2.96           45.08          
41        10.64          9.07           1.57           17.29          
42        6.97           6.38           0.60           9.39           
43        10.20          6.27           3.92           62.53          
44        9.96           8.68           1.28           14.79          
45        10.17          6.21           3.96           63.88          
46        7.06           6.14           0.92           14.91          
47        9.68           6.91           2.77           40.18          
48        10.35          6.74           3.61           53.63          
49        11.02          6.75           4.28           63.36          
