Error Distribution Results
Graph Size: 100
Number of Instances: 50
Population Size: 5
Generation: 250

Error Statistics:
Mean Error: 0.8313
Std Error: 0.8336
Mean Relative Error: 12.92%
Max Relative Error: 84.01%

Instance  GA             Exact          Error          Relative Error %
0         7.15           7.05           0.10           1.46           
1         6.33           6.03           0.31           5.09           
2         7.85           7.85           0.00           0.00           
3         6.01           6.01           0.00           0.00           
4         8.65           6.69           1.96           29.27          
5         6.63           6.63           0.00           0.00           
6         7.09           5.98           1.11           18.52          
7         6.80           4.87           1.93           39.50          
8         6.26           5.59           0.67           11.94          
9         7.60           7.22           0.38           5.22           
10        8.21           7.31           0.90           12.37          
11        5.72           5.72           0.00           0.00           
12        7.54           6.52           1.03           15.76          
13        8.59           7.70           0.89           11.54          
14        7.15           6.84           0.30           4.45           
15        8.91           7.48           1.43           19.18          
16        8.53           7.77           0.76           9.80           
17        8.24           6.76           1.48           21.88          
18        7.77           7.73           0.04           0.51           
19        8.13           6.78           1.34           19.77          
20        9.77           6.82           2.95           43.28          
21        8.36           7.37           0.99           13.47          
22        8.19           7.19           1.00           13.83          
23        8.12           8.12           0.00           0.00           
24        8.56           7.46           1.10           14.70          
25        8.29           4.51           3.79           84.01          
26        8.67           8.40           0.26           3.12           
27        9.08           8.32           0.76           9.17           
28        8.05           6.67           1.37           20.54          
29        6.00           6.00           0.00           0.00           
30        7.19           6.94           0.25           3.64           
31        8.96           7.14           1.82           25.46          
32        7.40           7.40           0.00           0.00           
33        8.00           6.92           1.07           15.52          
34        7.44           7.44           0.00           0.00           
35        6.87           5.22           1.65           31.59          
36        6.96           6.90           0.07           0.95           
37        8.45           8.20           0.25           2.99           
38        9.27           7.49           1.78           23.74          
39        7.56           6.55           1.01           15.39          
40        8.41           6.81           1.61           23.58          
41        9.75           9.29           0.46           4.97           
42        7.56           7.14           0.42           5.94           
43        7.88           6.61           1.27           19.17          
44        9.57           9.18           0.39           4.25           
45        7.26           7.26           0.00           0.00           
46        8.78           6.47           2.31           35.75          
47        5.54           5.54           0.00           0.00           
48        7.31           7.31           0.00           0.00           
49        7.86           7.49           0.37           4.93           
