Error Distribution Results
Graph Size: 100
Number of Instances: 50
Population Size: 25
Generation: 250

Error Statistics:
Mean Error: 0.5660
Std Error: 0.5912
Mean Relative Error: 8.10%
Max Relative Error: 37.53%

Instance  GA             Exact          Error          Relative Error %
0         7.05           7.05           0.00           0.00           
1         7.83           6.93           0.90           12.95          
2         7.56           6.80           0.75           11.04          
3         7.67           7.67           0.00           0.00           
4         9.19           9.08           0.12           1.29           
5         7.91           6.94           0.98           14.07          
6         8.08           6.86           1.22           17.83          
7         6.86           6.86           0.00           0.00           
8         7.67           7.24           0.43           5.87           
9         7.85           7.27           0.58           7.98           
10        8.68           7.43           1.25           16.84          
11        7.33           7.33           0.00           0.00           
12        7.36           6.71           0.65           9.73           
13        7.21           7.12           0.09           1.30           
14        7.65           7.65           0.00           0.00           
15        8.86           6.47           2.39           37.00          
16        6.89           6.89           0.00           0.00           
17        9.07           7.91           1.16           14.64          
18        8.41           8.41           0.00           0.00           
19        6.13           5.45           0.69           12.62          
20        7.11           7.11           0.00           0.00           
21        8.59           7.59           0.99           13.06          
22        8.78           8.30           0.48           5.77           
23        9.03           8.27           0.76           9.17           
24        8.88           8.76           0.12           1.41           
25        8.07           6.79           1.28           18.83          
26        7.68           7.07           0.61           8.69           
27        8.38           6.81           1.56           22.96          
28        6.29           6.29           0.00           0.00           
29        7.76           7.19           0.57           7.91           
30        8.95           8.81           0.14           1.57           
31        5.48           5.48           0.00           0.00           
32        7.84           6.59           1.24           18.82          
33        6.06           6.03           0.03           0.51           
34        8.77           8.05           0.72           8.92           
35        6.80           5.95           0.85           14.21          
36        9.07           8.43           0.64           7.56           
37        5.73           5.73           0.00           0.00           
38        7.67           7.45           0.22           2.99           
39        8.94           7.54           1.41           18.67          
40        8.60           6.25           2.35           37.53          
41        6.68           6.68           0.00           0.00           
42        7.81           6.96           0.85           12.14          
43        8.08           7.86           0.23           2.87           
44        6.63           6.63           0.00           0.00           
45        9.52           8.57           0.95           11.09          
46        7.29           7.29           0.00           0.00           
47        6.39           6.39           0.00           0.00           
48        7.20           6.60           0.60           9.13           
49        6.93           6.43           0.50           7.84           
