Error Distribution Results
Graph Size: 25
Number of Instances: 50
Population Size: 10
Generation: 250

Error Statistics:
Mean Error: 0.0852
Std Error: 0.3119
Mean Relative Error: 1.30%
Max Relative Error: 32.64%

Instance  GA             Exact          Error          Relative Error %
0         9.97           9.97           0.00           0.00           
1         9.00           9.00           0.00           0.00           
2         6.02           6.02           0.00           0.00           
3         9.02           9.02           0.00           0.00           
4         10.04          10.04          0.00           0.00           
5         10.31          10.31          0.00           0.00           
6         7.37           7.37           0.00           0.00           
7         9.03           9.03           0.00           0.00           
8         9.98           8.38           1.60           19.11          
9         9.16           9.13           0.04           0.41           
10        9.13           9.13           0.00           0.00           
11        7.65           7.61           0.04           0.57           
12        9.92           9.92           0.00           0.00           
13        8.92           8.92           0.00           0.00           
14        9.31           9.31           0.00           0.00           
15        9.24           9.24           0.00           0.00           
16        7.16           7.16           0.00           0.00           
17        6.14           6.14           0.00           0.00           
18        9.23           9.18           0.06           0.60           
19        7.19           7.19           0.00           0.00           
20        6.30           4.75           1.55           32.64          
21        6.44           6.44           0.00           0.00           
22        9.89           9.89           0.00           0.00           
23        6.59           6.59           0.00           0.00           
24        8.60           8.60           0.00           0.00           
25        8.65           8.65           0.00           0.00           
26        6.80           6.80           0.00           0.00           
27        8.10           8.10           0.00           0.00           
28        8.48           8.48           0.00           0.00           
29        9.80           9.80           0.00           0.00           
30        9.69           9.69           0.00           0.00           
31        9.61           9.61           0.00           0.00           
32        5.70           5.70           0.00           0.00           
33        7.76           7.61           0.15           1.99           
34        8.60           8.60           0.00           0.00           
35        7.01           7.01           0.00           0.00           
36        8.21           8.21           0.00           0.00           
37        7.51           7.51           0.00           0.00           
38        8.16           8.16           0.00           0.00           
39        6.83           6.83           0.00           0.00           
40        8.49           8.49           0.00           0.00           
41        5.60           5.40           0.20           3.79           
42        10.81          10.53          0.28           2.68           
43        8.20           8.20           0.00           0.00           
44        8.90           8.90           0.00           0.00           
45        8.83           8.83           0.00           0.00           
46        10.71          10.71          0.00           0.00           
47        8.86           8.86           0.00           0.00           
48        8.59           8.59           0.00           0.00           
49        10.42          10.08          0.34           3.33           
