Error Distribution Results
Graph Size: 50
Number of Instances: 50

Error Statistics:
Mean Error: 3.0321
Std Error: 1.7206
Mean Relative Error: 38.89%
Max Relative Error: 119.64%

Instance  GA             Exact          Error          Relative Error %
0         12.34          7.83           4.51           57.61          
1         11.57          8.31           3.26           39.26          
2         12.22          8.36           3.87           46.29          
3         10.83          9.17           1.66           18.12          
4         13.02          9.00           4.02           44.69          
5         11.01          8.40           2.61           31.10          
6         8.73           8.40           0.32           3.84           
7         12.01          8.12           3.89           47.97          
8         13.55          6.17           7.38           119.64         
9         11.11          9.39           1.72           18.35          
10        10.13          7.69           2.44           31.68          
11        8.53           8.53           0.00           0.00           
12        10.63          10.55          0.08           0.77           
13        13.89          8.73           5.16           59.06          
14        10.20          8.74           1.47           16.81          
15        13.41          10.17          3.24           31.86          
16        11.86          10.85          1.01           9.35           
17        13.36          8.13           5.23           64.39          
18        10.10          6.71           3.39           50.51          
19        11.55          8.23           3.32           40.27          
20        11.27          8.03           3.24           40.43          
21        11.95          7.77           4.18           53.73          
22        12.72          6.39           6.34           99.24          
23        9.31           8.40           0.90           10.77          
24        11.14          9.09           2.05           22.54          
25        12.94          9.44           3.50           37.08          
26        10.68          9.70           0.98           10.10          
27        14.12          11.09          3.03           27.32          
28        11.73          8.39           3.34           39.83          
29        11.67          5.45           6.22           114.10         
30        14.51          8.68           5.83           67.17          
31        10.66          5.72           4.94           86.48          
32        6.04           6.04           0.00           0.00           
33        9.44           8.29           1.15           13.86          
34        12.94          9.52           3.42           35.95          
35        11.83          9.48           2.35           24.81          
36        12.76          9.29           3.47           37.31          
37        12.20          9.17           3.03           33.04          
38        11.84          8.72           3.12           35.75          
39        11.01          7.29           3.72           51.07          
40        10.88          7.83           3.04           38.85          
41        10.67          9.17           1.49           16.27          
42        10.33          7.03           3.30           46.87          
43        11.54          8.98           2.56           28.49          
44        11.54          7.42           4.13           55.64          
45        6.50           5.66           0.84           14.76          
46        11.53          10.41          1.12           10.79          
47        10.86          8.91           1.95           21.93          
48        12.83          7.37           5.45           73.97          
49        10.97          6.66           4.31           64.76          
