Error Distribution Results
Graph Size: 25
Number of Instances: 50

Error Statistics:
Mean Error: 3.5454
Std Error: 2.2259
Mean Relative Error: 42.75%
Max Relative Error: 151.12%

Instance  GA             Exact          Error          Relative Error %
0         12.56          9.30           3.26           35.11          
1         14.53          8.45           6.08           71.97          
2         11.21          6.70           4.52           67.42          
3         15.96          12.99          2.98           22.91          
4         9.89           6.90           2.99           43.40          
5         14.80          9.33           5.47           58.68          
6         10.24          9.88           0.36           3.66           
7         13.03          9.13           3.90           42.66          
8         10.64          7.64           3.00           39.32          
9         10.59          7.98           2.60           32.61          
10        14.62          10.56          4.06           38.42          
11        10.85          9.95           0.90           9.06           
12        12.15          6.65           5.51           82.81          
13        11.19          8.28           2.92           35.26          
14        17.10          10.51          6.59           62.66          
15        12.76          9.77           2.99           30.57          
16        10.95          10.02          0.93           9.27           
17        12.41          9.81           2.60           26.52          
18        12.43          10.47          1.96           18.74          
19        11.12          7.97           3.16           39.66          
20        11.57          10.83          0.74           6.79           
21        15.55          9.90           5.65           57.08          
22        13.61          8.43           5.18           61.47          
23        17.15          12.60          4.55           36.09          
24        10.60          7.40           3.20           43.28          
25        10.92          8.22           2.70           32.87          
26        12.73          8.55           4.18           48.83          
27        10.34          8.39           1.95           23.26          
28        16.43          8.84           7.59           85.90          
29        8.58           7.69           0.89           11.57          
30        14.71          9.90           4.80           48.51          
31        13.82          12.45          1.37           11.00          
32        13.74          10.20          3.54           34.69          
33        11.94          4.75           7.18           151.12         
34        13.61          5.90           7.71           130.56         
35        16.38          7.59           8.79           115.87         
36        8.83           8.48           0.35           4.14           
37        10.85          10.32          0.53           5.16           
38        13.12          11.77          1.35           11.47          
39        12.45          11.05          1.40           12.68          
40        14.34          9.42           4.91           52.14          
41        11.39          8.72           2.67           30.63          
42        17.29          8.87           8.42           94.91          
43        13.87          7.30           6.58           90.11          
44        10.69          6.77           3.92           57.83          
45        12.03          7.77           4.26           54.83          
46        13.70          11.83          1.87           15.82          
47        13.65          10.77          2.89           26.82          
48        12.62          11.42          1.21           10.56          
49        11.40          11.29          0.11           1.01           
