Error Distribution Results
Graph Size: 400
Number of Instances: 50

Error Statistics:
Mean Error: 1.9187
Std Error: 0.8497
Mean Relative Error: 31.04%
Max Relative Error: 86.09%

Instance  GA             Exact          Error          Relative Error %
0         7.46           6.87           0.59           8.59           
1         8.77           6.85           1.91           27.95          
2         8.70           7.46           1.24           16.61          
3         8.70           6.03           2.67           44.31          
4         7.56           6.91           0.65           9.37           
5         8.88           6.70           2.18           32.61          
6         8.35           5.91           2.44           41.37          
7         8.10           5.69           2.40           42.24          
8         8.13           6.42           1.71           26.58          
9         8.44           6.61           1.83           27.72          
10        8.96           6.70           2.27           33.85          
11        9.14           6.91           2.23           32.27          
12        8.01           5.84           2.18           37.27          
13        8.49           6.67           1.82           27.27          
14        7.84           7.05           0.79           11.28          
15        7.58           5.88           1.70           28.92          
16        7.82           7.04           0.78           11.12          
17        7.03           6.29           0.74           11.82          
18        9.26           7.16           2.10           29.40          
19        7.87           4.99           2.89           57.86          
20        8.83           4.74           4.08           86.09          
21        6.82           5.66           1.16           20.44          
22        9.26           5.65           3.61           63.99          
23        9.52           6.18           3.34           53.99          
24        7.63           6.47           1.16           17.86          
25        9.34           7.53           1.81           24.10          
26        8.11           7.33           0.77           10.57          
27        8.27           6.35           1.92           30.33          
28        9.29           7.17           2.11           29.46          
29        7.22           6.01           1.22           20.24          
30        8.48           5.75           2.72           47.30          
31        8.84           6.53           2.32           35.49          
32        8.88           6.15           2.73           44.35          
33        7.79           5.58           2.21           39.67          
34        9.07           6.80           2.27           33.47          
35        9.41           6.88           2.52           36.61          
36        7.02           5.96           1.06           17.73          
37        8.61           6.68           1.93           28.96          
38        7.26           6.57           0.69           10.50          
39        7.93           6.47           1.46           22.51          
40        8.30           5.22           3.08           58.98          
41        6.73           6.09           0.64           10.46          
42        7.64           6.46           1.18           18.33          
43        9.74           6.83           2.91           42.65          
44        8.14           5.88           2.26           38.36          
45        9.23           5.77           3.45           59.83          
46        7.92           6.64           1.28           19.20          
47        7.53           6.73           0.81           11.97          
48        8.59           6.69           1.90           28.34          
49        9.08           6.89           2.19           31.79          
