Error Distribution Results
Graph Size: 400
Number of Instances: 50

Error Statistics:
Mean Error: 2.1459
Std Error: 0.7564
Mean Relative Error: 34.42%
Max Relative Error: 73.35%

Instance  GA             Exact          Error          Relative Error %
0         8.40           6.42           1.98           30.83          
1         8.86           6.89           1.96           28.45          
2         8.48           6.73           1.75           25.94          
3         9.32           6.04           3.28           54.31          
4         9.19           6.63           2.56           38.59          
5         7.37           6.59           0.78           11.85          
6         7.92           6.38           1.54           24.21          
7         9.20           6.61           2.59           39.21          
8         8.88           6.20           2.69           43.31          
9         8.14           5.68           2.46           43.24          
10        9.40           6.13           3.27           53.38          
11        8.27           5.99           2.27           37.94          
12        8.06           6.69           1.37           20.53          
13        9.03           5.97           3.07           51.45          
14        8.12           6.50           1.62           24.93          
15        7.26           5.41           1.85           34.28          
16        7.53           6.65           0.87           13.11          
17        9.24           5.67           3.57           63.00          
18        8.62           7.10           1.52           21.45          
19        9.11           6.70           2.42           36.10          
20        8.26           6.39           1.87           29.21          
21        7.62           6.65           0.97           14.63          
22        9.04           6.68           2.36           35.32          
23        8.56           6.31           2.25           35.58          
24        6.23           5.08           1.15           22.60          
25        7.67           6.64           1.03           15.55          
26        9.35           5.39           3.96           73.35          
27        8.82           7.24           1.57           21.71          
28        8.89           7.14           1.75           24.54          
29        9.97           6.53           3.44           52.70          
30        8.16           6.53           1.63           25.05          
31        9.11           6.54           2.57           39.34          
32        7.70           5.84           1.86           31.82          
33        8.36           6.18           2.18           35.29          
34        8.98           7.23           1.75           24.26          
35        8.93           7.00           1.94           27.71          
36        7.87           5.81           2.06           35.46          
37        8.70           6.21           2.49           40.05          
38        9.72           6.28           3.44           54.82          
39        8.49           6.16           2.32           37.70          
40        9.25           5.78           3.47           60.03          
41        7.63           6.57           1.06           16.12          
42        7.72           6.44           1.29           19.97          
43        8.81           6.49           2.32           35.78          
44        7.76           6.33           1.43           22.56          
45        9.30           6.84           2.46           35.99          
46        8.66           6.25           2.41           38.56          
47        8.09           6.47           1.62           24.99          
48        7.70           4.92           2.78           56.50          
49        8.90           6.46           2.44           37.75          
