Error Distribution Results
Graph Size: 200
Number of Instances: 50

Error Statistics:
Mean Error: 2.7158
Std Error: 0.8821
Mean Relative Error: 41.07%
Max Relative Error: 115.41%

Instance  GA             Exact          Error          Relative Error %
0         8.65           7.88           0.77           9.75           
1         9.24           6.55           2.69           41.13          
2         10.34          7.60           2.75           36.15          
3         8.86           6.74           2.12           31.45          
4         10.88          5.99           4.89           81.67          
5         10.24          7.68           2.56           33.31          
6         9.42           7.05           2.37           33.58          
7         10.15          6.59           3.55           53.94          
8         9.32           7.10           2.22           31.24          
9         8.82           6.31           2.51           39.73          
10        9.75           7.32           2.43           33.26          
11        9.81           8.23           1.58           19.19          
12        10.40          8.24           2.16           26.25          
13        7.73           5.43           2.30           42.24          
14        9.26           7.44           1.81           24.38          
15        9.96           8.12           1.83           22.59          
16        8.85           6.59           2.26           34.33          
17        10.35          4.81           5.55           115.41         
18        9.57           5.81           3.77           64.88          
19        10.02          6.48           3.53           54.47          
20        9.52           6.78           2.74           40.49          
21        9.34           6.26           3.08           49.13          
22        9.45           6.71           2.74           40.85          
23        9.16           7.04           2.12           30.15          
24        10.46          7.30           3.16           43.23          
25        8.40           6.47           1.93           29.75          
26        10.32          7.36           2.95           40.08          
27        9.53           6.64           2.89           43.49          
28        9.81           6.23           3.58           57.39          
29        10.05          8.29           1.75           21.16          
30        10.72          7.86           2.86           36.43          
31        9.69           7.06           2.63           37.24          
32        9.49           6.69           2.80           41.82          
33        8.77           5.73           3.04           53.12          
34        10.07          6.94           3.13           45.17          
35        9.78           6.69           3.10           46.37          
36        10.54          7.25           3.29           45.45          
37        10.53          6.74           3.79           56.21          
38        8.47           5.15           3.32           64.37          
39        10.53          7.83           2.71           34.61          
40        9.62           5.42           4.21           77.70          
41        9.30           6.56           2.74           41.72          
42        9.81           7.71           2.11           27.36          
43        9.04           6.78           2.26           33.38          
44        9.41           6.78           2.63           38.84          
45        10.59          7.65           2.94           38.43          
46        10.10          7.93           2.16           27.26          
47        6.55           6.44           0.11           1.73           
48        8.40           5.97           2.42           40.56          
49        10.09          7.15           2.94           41.09          
