Error Distribution Results
Graph Size: 25
Number of Instances: 50

Error Statistics:
Mean Error: 1.8838
Std Error: 1.2582
Mean Relative Error: 21.65%
Max Relative Error: 60.79%

Instance  GA             Exact          Error          Relative Error %
0         11.33          11.33          0.00           0.00           
1         12.40          7.71           4.69           60.79          
2         11.15          10.01          1.15           11.45          
3         9.81           8.64           1.17           13.60          
4         8.94           8.83           0.10           1.18           
5         12.02          8.85           3.17           35.81          
6         11.02          8.16           2.87           35.13          
7         8.64           6.78           1.86           27.42          
8         10.90          10.04          0.85           8.49           
9         11.09          10.21          0.88           8.58           
10        12.34          10.14          2.20           21.73          
11        10.74          8.88           1.86           20.95          
12        12.91          9.16           3.76           41.01          
13        14.09          10.58          3.51           33.14          
14        12.65          11.21          1.44           12.84          
15        10.46          9.08           1.38           15.20          
16        9.35           8.32           1.02           12.30          
17        11.41          9.27           2.14           23.04          
18        8.37           6.76           1.61           23.81          
19        10.31          10.31          0.00           0.00           
20        11.11          9.94           1.17           11.82          
21        11.59          9.09           2.51           27.57          
22        10.24          7.94           2.30           28.96          
23        12.44          10.17          2.27           22.34          
24        13.22          10.31          2.90           28.13          
25        8.71           8.14           0.58           7.11           
26        7.39           7.39           0.00           0.00           
27        11.32          7.77           3.55           45.71          
28        12.22          8.31           3.91           47.07          
29        11.72          8.53           3.18           37.30          
30        12.78          8.17           4.61           56.39          
31        8.91           8.91           0.00           0.00           
32        10.05          8.19           1.86           22.70          
33        9.61           8.07           1.54           19.12          
34        11.44          9.93           1.51           15.22          
35        10.37          8.01           2.36           29.42          
36        9.25           9.25           0.00           0.00           
37        8.21           5.96           2.26           37.90          
38        10.01          8.22           1.79           21.76          
39        9.75           8.99           0.76           8.41           
40        10.24          9.35           0.89           9.55           
41        9.83           9.30           0.53           5.65           
42        11.07          10.11          0.96           9.50           
43        12.97          9.00           3.97           44.13          
44        12.47          9.75           2.72           27.90          
45        13.70          11.72          1.98           16.91          
46        12.05          9.15           2.91           31.77          
47        12.11          9.75           2.36           24.17          
48        9.20           9.20           0.00           0.00           
49        11.16          8.00           3.16           39.56          
