Error Distribution Results
Graph Size: 50
Number of Instances: 50

Error Statistics:
Mean Error: 2.6417
Std Error: 1.3143
Mean Relative Error: 33.68%
Max Relative Error: 102.64%

Instance  GA             Exact          Error          Relative Error %
0         11.76          8.63           3.13           36.28          
1         11.22          7.51           3.71           49.38          
2         10.55          7.61           2.94           38.70          
3         10.76          9.42           1.35           14.34          
4         11.50          7.84           3.66           46.67          
5         10.83          8.22           2.61           31.82          
6         11.45          9.20           2.25           24.47          
7         10.82          9.59           1.24           12.91          
8         12.52          7.51           5.00           66.54          
9         12.27          9.45           2.82           29.80          
10        10.68          8.03           2.65           32.99          
11        11.07          7.75           3.31           42.73          
12        13.32          11.03          2.29           20.79          
13        9.06           8.64           0.42           4.86           
14        11.08          8.70           2.38           27.31          
15        11.39          9.86           1.52           15.46          
16        11.56          6.89           4.67           67.87          
17        12.08          7.45           4.62           62.00          
18        11.27          10.29          0.97           9.47           
19        13.50          9.85           3.65           37.00          
20        9.38           8.03           1.35           16.84          
21        11.98          9.47           2.51           26.48          
22        11.15          9.33           1.82           19.54          
23        12.22          10.75          1.48           13.74          
24        12.28          10.30          1.98           19.18          
25        10.52          8.00           2.52           31.55          
26        10.67          8.28           2.39           28.92          
27        10.75          8.40           2.35           27.99          
28        9.18           8.26           0.92           11.09          
29        9.03           7.79           1.24           15.90          
30        10.20          8.75           1.45           16.60          
31        9.56           7.53           2.03           26.99          
32        10.43          9.90           0.53           5.36           
33        11.53          8.04           3.49           43.39          
34        8.54           7.01           1.53           21.81          
35        10.73          8.03           2.70           33.61          
36        11.69          8.94           2.75           30.71          
37        8.59           6.25           2.34           37.50          
38        11.84          9.35           2.49           26.63          
39        9.78           6.68           3.10           46.37          
40        8.44           6.08           2.36           38.87          
41        12.40          6.12           6.28           102.64         
42        10.50          9.86           0.64           6.52           
43        11.58          6.79           4.80           70.68          
44        10.57          6.52           4.04           61.94          
45        10.75          9.00           1.75           19.43          
46        10.44          7.12           3.32           46.72          
47        12.38          8.34           4.04           48.48          
48        13.26          7.32           5.94           81.08          
49        10.28          7.55           2.73           36.20          
