Error Distribution Results
Graph Size: 10
Number of Instances: 50

Error Statistics:
Mean Error: 0.1082
Std Error: 0.4042
Mean Relative Error: 1.25%
Max Relative Error: 35.06%

Instance  GA             Exact          Error          Relative Error %
0         11.30          11.30          0.00           0.00           
1         8.23           8.23           0.00           0.00           
2         6.44           6.44           0.00           0.00           
3         12.17          12.17          0.00           0.00           
4         6.00           6.00           0.00           0.00           
5         8.99           8.99           0.00           0.00           
6         17.31          17.31          0.00           0.00           
7         15.12          15.03          0.09           0.59           
8         8.73           8.73           0.00           0.00           
9         11.45          11.45          0.00           0.00           
10        12.81          12.81          0.00           0.00           
11        7.40           7.40           0.00           0.00           
12        13.39          13.39          0.00           0.00           
13        6.51           6.51           0.00           0.00           
14        10.26          10.26          0.00           0.00           
15        11.38          11.38          0.00           0.00           
16        8.48           8.48           0.00           0.00           
17        11.62          11.62          0.00           0.00           
18        7.89           7.89           0.00           0.00           
19        11.72          11.72          0.00           0.00           
20        8.00           8.00           0.00           0.00           
21        8.88           8.88           0.00           0.00           
22        10.63          10.56          0.07           0.64           
23        15.52          15.52          0.00           0.00           
24        8.47           8.47           0.00           0.00           
25        12.89          12.36          0.53           4.33           
26        10.44          10.44          0.00           0.00           
27        7.75           7.75           0.00           0.00           
28        12.62          12.62          0.00           0.00           
29        14.88          13.93          0.96           6.88           
30        8.30           8.30           0.00           0.00           
31        7.18           7.18           0.00           0.00           
32        8.74           8.74           0.00           0.00           
33        13.39          13.39          0.00           0.00           
34        10.42          10.42          0.00           0.00           
35        7.88           7.88           0.00           0.00           
36        7.79           7.79           0.00           0.00           
37        9.02           9.02           0.00           0.00           
38        14.98          14.98          0.00           0.00           
39        11.04          11.04          0.00           0.00           
40        9.30           8.16           1.14           14.00          
41        6.31           6.31           0.00           0.00           
42        10.67          10.67          0.00           0.00           
43        13.28          13.28          0.00           0.00           
44        9.58           9.58           0.00           0.00           
45        8.02           8.02           0.00           0.00           
46        9.60           7.11           2.49           35.06          
47        11.01          11.01          0.00           0.00           
48        7.69           7.69           0.00           0.00           
49        10.78          10.65          0.13           1.19           
