Error Distribution Results
Graph Size: 400
Number of Instances: 50

Error Statistics:
Mean Error: 1.6937
Std Error: 0.8549
Mean Relative Error: 26.81%
Max Relative Error: 68.28%

Instance  GA             Exact          Error          Relative Error %
0         8.52           6.70           1.82           27.09          
1         7.58           6.82           0.76           11.11          
2         7.64           6.55           1.08           16.55          
3         8.91           7.22           1.69           23.41          
4         9.05           5.38           3.67           68.28          
5         7.09           5.41           1.68           30.97          
6         7.74           6.61           1.13           17.08          
7         9.22           7.03           2.19           31.10          
8         8.68           6.97           1.71           24.48          
9         8.13           6.70           1.43           21.29          
10        8.09           7.02           1.07           15.17          
11        9.36           6.51           2.85           43.79          
12        8.66           6.25           2.41           38.62          
13        8.64           6.44           2.20           34.14          
14        8.42           6.16           2.26           36.72          
15        7.99           7.02           0.97           13.83          
16        7.54           5.68           1.86           32.75          
17        8.04           6.76           1.27           18.83          
18        8.24           6.08           2.16           35.52          
19        8.71           6.55           2.16           32.99          
20        8.49           6.43           2.06           32.07          
21        7.20           6.38           0.82           12.82          
22        9.15           6.39           2.76           43.10          
23        7.57           6.55           1.01           15.42          
24        9.16           5.91           3.25           54.92          
25        6.61           6.61           0.00           0.00           
26        9.55           7.26           2.29           31.50          
27        6.48           6.38           0.10           1.57           
28        7.42           6.63           0.79           11.91          
29        8.71           6.98           1.73           24.80          
30        7.20           6.46           0.74           11.37          
31        8.52           5.74           2.79           48.60          
32        8.95           5.68           3.26           57.41          
33        6.63           6.28           0.36           5.72           
34        6.75           5.71           1.04           18.19          
35        8.46           6.32           2.14           33.91          
36        7.61           6.40           1.21           18.87          
37        7.41           6.99           0.41           5.88           
38        8.96           6.70           2.26           33.65          
39        8.79           6.42           2.37           37.01          
40        6.05           5.38           0.67           12.50          
41        7.35           6.50           0.85           13.08          
42        8.64           6.53           2.12           32.42          
43        8.03           6.99           1.03           14.78          
44        9.17           5.82           3.35           57.59          
45        8.30           6.00           2.30           38.29          
46        8.74           7.24           1.50           20.75          
47        7.75           6.20           1.55           25.01          
48        8.29           6.66           1.63           24.52          
49        8.57           6.63           1.94           29.35          
