Error Distribution Results
Graph Size: 100
Number of Instances: 50

Error Statistics:
Mean Error: 2.4765
Std Error: 1.1141
Mean Relative Error: 35.07%
Max Relative Error: 87.84%

Instance  GA             Exact          Error          Relative Error %
0         9.88           7.19           2.68           37.30          
1         10.04          6.85           3.18           46.44          
2         9.54           7.66           1.89           24.65          
3         11.06          6.90           4.16           60.25          
4         10.24          7.47           2.76           36.99          
5         10.81          7.60           3.21           42.24          
6         10.53          7.84           2.69           34.30          
7         10.28          8.86           1.42           16.09          
8         10.88          8.04           2.84           35.36          
9         9.77           6.34           3.43           54.02          
10        9.72           7.50           2.22           29.59          
11        9.59           8.11           1.47           18.16          
12        8.87           7.74           1.14           14.68          
13        11.71          8.44           3.27           38.71          
14        10.14          8.35           1.78           21.35          
15        8.57           8.09           0.48           5.91           
16        10.95          7.35           3.60           48.89          
17        8.95           6.58           2.36           35.89          
18        10.71          6.59           4.12           62.52          
19        9.92           6.74           3.18           47.25          
20        10.32          6.90           3.43           49.68          
21        7.44           6.16           1.29           20.90          
22        9.40           7.74           1.66           21.52          
23        9.24           6.08           3.16           52.05          
24        11.14          7.61           3.52           46.26          
25        8.66           7.96           0.70           8.83           
26        9.45           8.38           1.08           12.84          
27        9.63           7.98           1.64           20.60          
28        7.69           6.09           1.60           26.21          
29        10.41          6.28           4.13           65.81          
30        7.85           6.23           1.62           25.94          
31        9.75           8.06           1.70           21.06          
32        9.36           4.98           4.38           87.84          
33        10.89          7.63           3.26           42.75          
34        10.34          6.52           3.82           58.58          
35        10.92          6.49           4.44           68.36          
36        10.68          6.85           3.83           55.88          
37        7.77           6.73           1.04           15.51          
38        9.96           8.23           1.73           21.00          
39        10.25          7.87           2.38           30.21          
40        9.12           7.91           1.22           15.37          
41        10.13          7.37           2.77           37.55          
42        11.37          8.68           2.69           30.97          
43        9.05           8.22           0.83           10.10          
44        10.37          7.65           2.72           35.50          
45        8.83           7.31           1.53           20.87          
46        7.70           7.70           0.00           0.00           
47        10.24          6.63           3.61           54.36          
48        10.77          7.60           3.17           41.64          
49        9.79           6.76           3.03           44.78          
