Error Distribution Results
Graph Size: 200
Number of Instances: 50

Error Statistics:
Mean Error: 2.3839
Std Error: 0.9915
Mean Relative Error: 36.99%
Max Relative Error: 100.71%

Instance  GA             Exact          Error          Relative Error %
0         7.71           6.05           1.67           27.53          
1         7.88           6.43           1.45           22.58          
2         9.30           7.16           2.14           29.93          
3         8.56           6.30           2.26           35.85          
4         9.63           7.22           2.41           33.35          
5         9.43           7.09           2.33           32.91          
6         9.75           6.35           3.39           53.39          
7         9.88           6.95           2.93           42.19          
8         10.65          7.52           3.12           41.52          
9         6.36           4.58           1.78           38.88          
10        8.97           5.90           3.07           51.95          
11        6.32           5.52           0.81           14.61          
12        9.82           6.78           3.04           44.84          
13        9.45           6.95           2.50           35.92          
14        8.73           7.10           1.63           22.97          
15        8.63           7.35           1.28           17.48          
16        8.66           7.59           1.07           14.03          
17        9.11           6.08           3.03           49.88          
18        8.68           6.66           2.02           30.36          
19        8.62           5.93           2.69           45.42          
20        9.11           6.72           2.39           35.49          
21        9.73           7.82           1.91           24.38          
22        9.89           7.67           2.22           29.00          
23        8.39           7.36           1.03           13.94          
24        9.66           6.70           2.96           44.13          
25        10.08          7.28           2.80           38.45          
26        9.64           6.96           2.68           38.52          
27        8.16           6.46           1.70           26.26          
28        10.74          6.99           3.76           53.78          
29        8.88           6.34           2.55           40.23          
30        9.01           6.58           2.43           37.01          
31        9.92           7.64           2.28           29.85          
32        6.80           6.80           0.00           0.00           
33        9.35           6.08           3.26           53.63          
34        8.98           7.28           1.70           23.31          
35        9.58           7.55           2.03           26.87          
36        9.02           5.75           3.27           56.81          
37        8.87           6.89           1.98           28.72          
38        9.03           6.05           2.97           49.13          
39        7.79           7.38           0.41           5.54           
40        9.59           5.51           4.08           74.06          
41        8.59           6.55           2.05           31.27          
42        9.30           7.06           2.24           31.76          
43        10.04          6.09           3.95           64.77          
44        10.60          6.71           3.90           58.12          
45        9.21           5.21           4.00           76.72          
46        10.11          5.04           5.07           100.71         
47        10.63          8.01           2.62           32.64          
48        6.99           5.93           1.06           17.80          
49        7.47           6.17           1.30           21.06          
