Fitness Progress Results
Population Size: 50
Steps: 500

Generation  Best        Average     Worst       StdDev      
0           inf         inf         8.17        nan         
1           19.19       13.96       8.17        1.68        
2           18.14       13.89       8.17        1.62        
3           17.77       13.84       8.17        1.57        
4           17.66       13.79       8.17        1.54        
5           17.31       13.74       8.17        1.51        
6           17.07       13.68       8.17        1.49        
7           17.07       13.64       8.17        1.47        
8           16.59       13.59       8.17        1.45        
9           16.53       13.55       8.17        1.44        
10          16.53       13.52       8.17        1.43        
11          16.30       13.48       8.17        1.41        
12          16.30       13.44       8.17        1.40        
13          16.22       13.40       8.17        1.39        
14          16.22       13.37       8.17        1.38        
15          16.15       13.34       8.17        1.37        
16          16.12       13.30       8.17        1.36        
17          16.06       13.27       8.17        1.35        
18          16.04       13.25       8.17        1.34        
19          16.04       13.22       8.17        1.34        
20          15.90       13.19       8.17        1.33        
21          15.79       13.17       8.17        1.32        
22          15.77       13.15       8.17        1.31        
23          15.76       13.11       8.17        1.31        
24          15.51       13.08       8.17        1.30        
25          15.48       13.06       8.17        1.29        
26          15.48       13.03       8.17        1.29        
27          15.47       13.02       8.17        1.28        
28          15.47       12.99       8.17        1.28        
29          15.31       12.96       8.17        1.27        
30          15.31       12.94       8.17        1.27        
31          15.28       12.92       8.17        1.26        
32          15.28       12.90       8.17        1.27        
33          15.13       12.87       8.17        1.26        
34          15.12       12.85       8.17        1.26        
35          15.12       12.82       7.93        1.26        
36          15.06       12.80       7.93        1.25        
37          15.06       12.77       7.93        1.25        
38          15.06       12.75       7.93        1.24        
39          15.03       12.72       7.41        1.25        
40          15.03       12.69       7.41        1.24        
41          15.03       12.67       7.41        1.24        
42          14.98       12.65       7.41        1.23        
43          14.97       12.63       7.41        1.23        
44          14.87       12.61       7.41        1.22        
45          14.87       12.59       7.41        1.23        
46          14.76       12.57       7.41        1.22        
47          14.76       12.56       7.41        1.22        
48          14.76       12.54       7.41        1.22        
49          14.74       12.53       6.68        1.21        
50          14.71       12.51       6.68        1.21        
51          14.71       12.50       6.68        1.21        
52          14.71       12.49       6.68        1.20        
53          14.71       12.47       6.68        1.20        
54          14.71       12.46       6.68        1.20        
55          14.69       12.44       6.68        1.19        
56          14.65       12.43       6.68        1.19        
57          14.65       12.41       6.68        1.19        
58          14.65       12.40       6.68        1.19        
59          14.65       12.37       6.68        1.19        
60          14.64       12.36       6.68        1.19        
61          14.64       12.35       6.68        1.18        
62          14.61       12.34       6.68        1.18        
63          14.61       12.32       6.68        1.18        
64          14.61       12.30       6.68        1.18        
65          14.61       12.29       6.68        1.17        
66          14.43       12.28       6.68        1.17        
67          14.42       12.26       6.68        1.16        
68          14.42       12.25       6.68        1.16        
69          14.42       12.24       6.68        1.16        
70          14.37       12.23       6.68        1.16        
71          14.37       12.22       6.68        1.16        
72          14.27       12.20       6.68        1.16        
73          14.27       12.19       6.68        1.16        
74          14.27       12.17       6.68        1.16        
75          14.16       12.16       6.68        1.16        
76          14.16       12.15       6.68        1.15        
77          14.16       12.14       6.68        1.15        
78          14.16       12.13       6.68        1.15        
79          14.14       12.12       6.68        1.15        
80          14.14       12.11       6.68        1.15        
81          14.14       12.10       6.68        1.15        
82          14.14       12.09       6.68        1.15        
83          14.14       12.08       6.68        1.14        
84          14.14       12.07       6.68        1.14        
85          14.14       12.05       6.68        1.14        
86          14.14       12.04       6.68        1.14        
87          14.13       12.02       6.68        1.14        
88          14.10       12.01       6.68        1.14        
89          14.10       12.00       6.68        1.13        
90          14.10       11.98       6.68        1.13        
91          14.10       11.97       6.68        1.13        
92          14.10       11.96       6.68        1.13        
93          14.04       11.95       6.68        1.13        
94          14.04       11.95       6.68        1.13        
95          14.03       11.94       6.68        1.13        
96          14.02       11.93       6.68        1.12        
97          14.02       11.92       6.68        1.12        
98          14.02       11.91       6.68        1.12        
99          14.02       11.90       6.68        1.12        
100         14.02       11.89       6.68        1.12        
101         14.02       11.88       6.68        1.12        
102         14.02       11.87       6.68        1.12        
103         14.02       11.85       6.68        1.11        
104         14.02       11.83       6.68        1.11        
105         14.02       11.82       6.68        1.11        
106         14.02       11.81       6.68        1.11        
107         13.95       11.80       6.68        1.11        
108         13.95       11.79       6.68        1.11        
109         13.95       11.78       6.68        1.11        
110         13.94       11.77       6.68        1.11        
111         13.94       11.75       6.68        1.11        
112         13.89       11.74       6.68        1.11        
113         13.89       11.73       6.68        1.11        
114         13.86       11.71       6.68        1.10        
115         13.86       11.70       6.68        1.10        
116         13.82       11.69       6.68        1.10        
117         13.77       11.68       6.68        1.10        
118         13.71       11.66       6.68        1.10        
119         13.71       11.65       6.68        1.10        
120         13.71       11.64       6.68        1.10        
121         13.71       11.63       6.68        1.10        
122         13.71       11.62       6.68        1.10        
123         13.71       11.61       6.68        1.10        
124         13.68       11.60       6.68        1.09        
125         13.68       11.59       6.68        1.09        
126         13.68       11.58       6.68        1.09        
127         13.67       11.57       6.68        1.09        
128         13.67       11.56       6.68        1.09        
129         13.67       11.55       6.68        1.09        
130         13.67       11.54       6.68        1.09        
