Fitness Progress Results
Population Size: 20
Steps: 250

Generation  Best        Average     Worst       StdDev      
0           inf         inf         7.94        nan         
1           18.12       13.77       7.94        1.65        
2           17.51       13.63       7.94        1.57        
3           17.08       13.50       7.94        1.51        
4           16.75       13.39       7.94        1.49        
5           16.64       13.31       7.94        1.45        
6           16.03       13.22       7.94        1.41        
7           16.03       13.14       7.94        1.38        
8           15.78       13.07       7.15        1.36        
9           15.58       12.98       7.15        1.36        
10          15.49       12.92       7.15        1.34        
11          15.42       12.88       7.15        1.31        
12          15.42       12.82       7.15        1.31        
13          15.38       12.76       7.15        1.29        
14          15.38       12.72       7.15        1.28        
15          15.17       12.67       7.15        1.26        
16          15.05       12.64       7.15        1.24        
17          14.94       12.59       7.15        1.22        
18          14.85       12.55       7.15        1.21        
19          14.83       12.51       7.15        1.20        
20          14.83       12.46       7.15        1.20        
21          14.61       12.42       7.15        1.19        
22          14.55       12.37       7.15        1.20        
23          14.51       12.33       7.15        1.19        
24          14.38       12.29       7.15        1.18        
25          14.38       12.25       7.15        1.18        
26          14.22       12.21       7.15        1.17        
27          14.22       12.19       7.15        1.16        
28          14.22       12.15       7.15        1.16        
29          14.20       12.12       7.15        1.15        
30          14.05       12.09       7.15        1.14        
31          14.05       12.06       7.15        1.13        
32          14.05       12.04       7.15        1.13        
33          14.05       12.00       7.15        1.12        
34          13.96       11.98       7.15        1.11        
35          13.90       11.95       7.15        1.10        
36          13.90       11.93       7.15        1.10        
37          13.82       11.90       7.15        1.09        
38          13.82       11.86       7.15        1.10        
39          13.72       11.84       7.15        1.10        
40          13.72       11.81       7.15        1.10        
41          13.72       11.78       7.15        1.10        
42          13.72       11.74       7.15        1.10        
43          13.61       11.72       7.15        1.09        
44          13.61       11.70       7.15        1.09        
45          13.59       11.68       7.15        1.09        
46          13.59       11.64       7.15        1.09        
47          13.41       11.62       7.15        1.10        
48          13.41       11.60       7.15        1.10        
49          13.41       11.57       7.15        1.10        
50          13.41       11.56       7.15        1.09        
51          13.41       11.54       7.15        1.09        
52          13.41       11.52       7.15        1.08        
53          13.41       11.50       7.15        1.08        
54          13.39       11.47       7.15        1.08        
55          13.39       11.45       7.15        1.08        
56          13.39       11.42       7.15        1.08        
57          13.29       11.39       7.15        1.09        
58          13.20       11.37       7.15        1.08        
