Fitness Progress Results
Population Size: 50
Steps: 250

Generation  Best        Average     Worst       StdDev      
166         13.24       11.08       5.73        1.12        
167         13.24       11.07       5.73        1.12        
168         13.24       11.06       5.73        1.12        
169         13.24       11.06       5.73        1.12        
170         13.24       11.05       5.73        1.12        
171         13.24       11.04       5.73        1.12        
172         13.24       11.03       5.73        1.11        
173         13.24       11.02       5.73        1.11        
174         13.21       11.01       5.73        1.12        
175         13.21       11.00       5.73        1.12        
176         13.19       11.00       5.73        1.12        
177         13.19       10.99       5.73        1.11        
178         13.17       10.98       5.73        1.11        
179         13.17       10.97       5.73        1.12        
180         13.17       10.96       5.73        1.12        
181         13.17       10.96       5.73        1.11        
182         13.17       10.95       5.73        1.11        
183         13.17       10.94       5.73        1.12        
184         13.17       10.93       5.73        1.12        
185         13.16       10.93       5.73        1.12        
186         13.12       10.92       5.73        1.11        
187         13.12       10.91       5.73        1.11        
188         13.11       10.90       5.73        1.11        
189         13.08       10.90       5.73        1.11        
190         13.08       10.89       5.73        1.11        
191         13.08       10.88       5.73        1.11        
192         13.08       10.88       5.73        1.11        
193         13.05       10.87       5.73        1.11        
194         13.05       10.86       5.73        1.11        
195         13.05       10.86       5.73        1.11        
196         13.05       10.85       5.73        1.11        
197         13.02       10.84       5.73        1.11        
198         12.99       10.83       5.73        1.11        
199         12.99       10.83       5.73        1.11        
200         12.99       10.82       5.73        1.11        
201         12.99       10.82       5.73        1.11        
202         12.99       10.81       5.73        1.11        
203         12.97       10.81       5.73        1.11        
204         12.97       10.80       5.73        1.11        
205         12.97       10.79       5.73        1.11        
206         12.97       10.79       5.73        1.11        
207         12.97       10.78       5.73        1.11        
208         12.96       10.77       5.73        1.11        
209         12.96       10.77       5.73        1.11        
210         12.96       10.76       5.73        1.11        
211         12.96       10.75       5.73        1.11        
212         12.93       10.75       5.73        1.11        
213         12.88       10.74       5.73        1.11        
214         12.88       10.73       5.73        1.11        
215         12.88       10.72       5.73        1.11        
216         12.88       10.71       5.73        1.11        
217         12.87       10.71       5.73        1.11        
218         12.87       10.70       5.51        1.11        
219         12.87       10.69       5.51        1.11        
220         12.87       10.69       5.51        1.11        
221         12.87       10.68       5.51        1.11        
222         12.87       10.68       5.51        1.11        
223         12.87       10.67       5.51        1.11        
224         12.85       10.66       5.51        1.11        
225         12.85       10.65       5.51        1.11        
226         12.85       10.65       5.51        1.11        
227         12.85       10.64       5.51        1.11        
228         12.81       10.64       5.51        1.10        
229         12.81       10.63       5.51        1.11        
230         12.81       10.63       5.51        1.10        
231         12.81       10.62       5.51        1.10        
232         12.81       10.62       5.51        1.10        
233         12.81       10.61       5.51        1.10        
234         12.81       10.60       5.51        1.10        
235         12.81       10.60       5.51        1.10        
236         12.81       10.60       5.51        1.10        
237         12.81       10.59       5.51        1.10        
238         12.77       10.59       5.51        1.10        
239         12.77       10.59       5.51        1.10        
240         12.77       10.58       5.51        1.10        
241         12.77       10.58       5.51        1.10        
242         12.77       10.58       5.51        1.10        
243         12.75       10.57       5.51        1.10        
244         12.75       10.57       5.51        1.10        
245         12.66       10.57       5.51        1.10        
246         12.66       10.56       5.51        1.10        
247         12.66       10.56       5.51        1.10        
248         12.65       10.56       5.51        1.10        
249         12.65       10.55       5.51        1.09        
