Fitness Progress Results
Population Size: 10
Steps: 250

Generation  Best        Average     Worst       StdDev      
0           inf         inf         8.36        nan         
1           18.03       13.48       8.36        1.66        
2           17.39       13.28       8.36        1.49        
3           16.08       13.09       8.36        1.39        
4           15.81       12.90       8.36        1.38        
5           15.49       12.78       8.36        1.32        
6           15.26       12.63       8.36        1.28        
7           15.26       12.53       8.36        1.27        
8           14.97       12.41       8.36        1.25        
9           14.83       12.33       8.36        1.23        
10          14.83       12.25       8.36        1.23        
11          14.82       12.18       8.36        1.21        
12          14.82       12.10       8.36        1.21        
13          14.43       12.03       8.36        1.20        
14          14.37       11.99       8.36        1.18        
15          14.10       11.94       8.36        1.15        
16          14.08       11.90       8.36        1.13        
17          14.00       11.86       8.36        1.10        
18          14.00       11.82       8.36        1.10        
19          14.00       11.77       8.36        1.08        
20          14.00       11.72       8.36        1.06        
21          13.77       11.66       8.36        1.05        
22          13.77       11.63       8.36        1.03        
23          13.77       11.62       8.36        1.03        
24          13.66       11.58       8.36        1.02        
25          13.66       11.55       8.36        1.01        
26          13.66       11.52       8.36        1.01        
27          13.66       11.48       8.36        1.01        
28          13.66       11.44       8.36        1.01        
29          13.66       11.41       8.36        1.00        
30          13.66       11.38       8.36        0.99        
31          13.55       11.30       7.94        0.97        
32          13.50       11.27       7.94        0.98        
33          13.40       11.22       7.94        0.97        
34          13.38       11.19       7.94        0.95        
35          13.38       11.16       7.94        0.95        
36          13.38       11.14       7.87        0.95        
37          13.27       11.10       7.87        0.94        
38          13.17       11.06       7.87        0.94        
39          13.14       11.03       7.87        0.94        
40          13.14       11.00       7.87        0.93        
41          13.10       10.95       7.87        0.92        
42          13.03       10.91       7.87        0.90        
43          13.02       10.88       7.87        0.89        
44          12.81       10.85       7.87        0.88        
45          12.81       10.82       7.87        0.88        
46          12.81       10.77       7.25        0.89        
47          12.81       10.75       7.25        0.90        
48          12.81       10.73       7.25        0.89        
49          12.81       10.69       7.25        0.89        
50          12.66       10.65       7.25        0.90        
51          12.66       10.63       7.25        0.90        
52          12.66       10.60       7.25        0.89        
53          12.66       10.58       7.25        0.89        
54          12.66       10.56       7.25        0.89        
55          12.66       10.53       7.25        0.89        
56          12.66       10.52       7.25        0.90        
57          12.66       10.50       7.25        0.89        
58          12.66       10.47       7.25        0.90        
59          12.61       10.45       7.25        0.89        
60          12.61       10.43       7.25        0.89        
61          12.39       10.40       7.25        0.90        
62          12.39       10.38       7.25        0.89        
63          12.39       10.37       7.25        0.89        
64          12.39       10.35       7.25        0.89        
65          12.39       10.33       7.25        0.88        
66          12.39       10.32       7.25        0.88        
67          12.39       10.31       7.25        0.88        
68          12.39       10.30       7.25        0.88        
69          12.39       10.29       7.25        0.87        
70          12.39       10.27       7.25        0.87        
71          12.34       10.25       7.25        0.86        
72          12.33       10.24       7.25        0.85        
73          12.32       10.22       7.25        0.85        
74          12.03       10.21       7.25        0.85        
75          11.94       10.20       7.25        0.84        
76          11.94       10.17       7.25        0.85        
77          11.94       10.17       7.25        0.84        
78          11.94       10.16       6.68        0.85        
79          11.94       10.15       6.68        0.85        
80          11.94       10.14       6.68        0.86        
81          11.94       10.12       6.68        0.86        
82          11.94       10.10       6.68        0.86        
83          11.93       10.10       6.68        0.86        
84          11.93       10.09       6.68        0.86        
85          11.93       10.08       6.68        0.86        
86          11.93       10.07       6.68        0.86        
87          11.93       10.06       6.68        0.86        
88          11.89       10.06       6.68        0.85        
89          11.89       10.05       6.68        0.86        
90          11.89       10.04       6.68        0.85        
91          11.89       10.03       6.68        0.85        
92          11.89       10.02       6.68        0.85        
93          11.89       10.01       6.68        0.84        
94          11.89       10.01       6.68        0.84        
95          11.75       9.99        6.68        0.84        
96          11.75       9.98        6.68        0.84        
97          11.75       9.97        6.68        0.83        
98          11.75       9.96        6.68        0.83        
99          11.75       9.95        6.68        0.84        
100         11.75       9.94        6.68        0.83        
101         11.75       9.93        6.68        0.83        
102         11.73       9.93        6.68        0.83        
103         11.73       9.91        6.68        0.83        
104         11.73       9.89        6.68        0.83        
105         11.73       9.87        6.68        0.84        
106         11.73       9.87        6.68        0.84        
107         11.73       9.86        6.68        0.84        
108         11.73       9.86        6.68        0.84        
109         11.73       9.85        6.68        0.83        
110         11.71       9.84        6.68        0.83        
111         11.71       9.83        6.68        0.83        
112         11.71       9.83        6.68        0.83        
113         11.71       9.83        6.68        0.83        
114         11.44       9.83        6.68        0.82        
115         11.44       9.83        6.68        0.82        
116         11.44       9.82        6.68        0.83        
117         11.44       9.81        6.68        0.83        
118         11.44       9.80        6.68        0.82        
119         11.44       9.80        6.68        0.82        
120         11.44       9.79        6.68        0.82        
121         11.44       9.78        6.68        0.82        
122         11.43       9.75        6.68        0.83        
123         11.43       9.74        6.68        0.82        
124         11.43       9.74        6.68        0.83        
125         11.43       9.74        6.68        0.83        
126         11.43       9.73        6.68        0.83        
127         11.43       9.73        6.68        0.83        
128         11.43       9.72        6.68        0.84        
129         11.43       9.71        6.68        0.83        
130         11.43       9.71        6.68        0.83        
131         11.43       9.70        6.68        0.83        
132         11.43       9.69        6.68        0.83        
133         11.43       9.68        6.68        0.83        
134         11.43       9.68        6.68        0.83        
135         11.36       9.67        6.68        0.82        
136         11.36       9.67        6.68        0.82        
137         11.36       9.66        6.68        0.82        
138         11.36       9.65        6.68        0.82        
139         11.36       9.65        6.68        0.83        
140         11.34       9.63        6.68        0.82        
141         11.22       9.63        6.68        0.82        
142         11.22       9.63        6.68        0.81        
143         11.22       9.62        6.68        0.82        
144         11.22       9.62        6.68        0.82        
145         11.14       9.61        6.68        0.82        
146         11.14       9.61        6.68        0.82        
147         11.14       9.61        6.68        0.82        
148         11.14       9.60        6.68        0.81        
149         11.14       9.59        6.68        0.82        
150         11.14       9.58        6.68        0.82        
151         11.14       9.58        6.68        0.81        
152         11.14       9.57        6.68        0.81        
153         11.14       9.56        6.68        0.81        
154         11.14       9.56        6.68        0.81        
155         11.14       9.55        6.68        0.81        
156         11.14       9.55        6.68        0.81        
157         11.14       9.55        6.68        0.81        
158         11.14       9.55        6.68        0.81        
159         11.14       9.54        6.68        0.81        
160         11.14       9.53        6.68        0.82        
161         11.14       9.53        6.68        0.82        
162         11.14       9.52        6.68        0.83        
163         11.14       9.51        6.68        0.82        
164         11.14       9.51        6.68        0.82        
165         10.99       9.51        6.68        0.82        
166         10.99       9.51        6.68        0.82        
167         10.99       9.51        6.68        0.82        
168         10.99       9.51        6.68        0.82        
169         10.99       9.50        6.68        0.82        
170         10.99       9.49        5.54        0.84        
171         10.99       9.48        5.54        0.83        
172         10.99       9.48        5.54        0.83        
173         10.99       9.48        5.54        0.83        
174         10.99       9.47        5.54        0.83        
175         10.99       9.46        5.54        0.83        
176         10.99       9.46        5.54        0.83        
177         10.99       9.46        5.54        0.83        
178         10.99       9.45        5.54        0.83        
179         10.99       9.44        5.54        0.83        
180         10.99       9.44        5.54        0.83        
181         10.99       9.43        5.54        0.83        
182         10.99       9.43        5.54        0.83        
183         10.99       9.42        5.54        0.83        
184         10.99       9.42        5.54        0.83        
185         10.99       9.41        5.54        0.83        
186         10.99       9.41        5.54        0.83        
187         10.95       9.40        5.54        0.84        
188         10.95       9.38        5.54        0.84        
189         10.95       9.38        5.54        0.84        
190         10.95       9.37        5.54        0.83        
191         10.95       9.37        5.54        0.83        
192         10.95       9.36        5.54        0.83        
193         10.95       9.35        5.54        0.82        
194         10.95       9.35        5.54        0.82        
195         10.95       9.34        5.54        0.82        
196         10.95       9.34        5.54        0.82        
197         10.95       9.34        5.54        0.82        
198         10.95       9.34        5.54        0.82        
199         10.95       9.33        5.54        0.82        
200         10.95       9.33        5.54        0.82        
201         10.95       9.32        5.54        0.82        
202         10.95       9.32        5.54        0.81        
203         10.95       9.31        5.54        0.83        
204         10.95       9.31        5.54        0.83        
205         10.95       9.30        5.54        0.83        
206         10.95       9.30        5.54        0.83        
207         10.95       9.30        5.54        0.82        
