Error Distribution Results
Graph Size: 10
Number of Instances: 50
Population Size: 25
Generation: 250

Error Statistics:
Mean Error: 0.0000
Std Error: 0.0000
Mean Relative Error: 0.00%
Max Relative Error: 0.00%

Instance  GA             Exact          Error          Relative Error %
0         11.30          11.30          0.00           0.00           
1         13.57          13.57          0.00           0.00           
2         12.34          12.34          0.00           0.00           
3         11.23          11.23          0.00           0.00           
4         8.26           8.26           0.00           0.00           
5         5.16           5.16           0.00           0.00           
6         15.02          15.02          0.00           0.00           
7         8.75           8.75           0.00           0.00           
8         9.03           9.03           0.00           0.00           
9         9.30           9.30           0.00           0.00           
10        17.15          17.15          0.00           0.00           
11        7.08           7.08           0.00           0.00           
12        13.30          13.30          0.00           0.00           
13        6.29           6.29           0.00           0.00           
14        6.36           6.36           0.00           0.00           
15        12.99          12.99          0.00           0.00           
16        12.05          12.05          0.00           0.00           
17        14.60          14.60          0.00           0.00           
18        13.13          13.13          0.00           0.00           
19        9.90           9.90           0.00           0.00           
20        12.00          12.00          0.00           0.00           
21        10.83          10.83          0.00           0.00           
22        6.39           6.39           0.00           0.00           
23        12.61          12.61          0.00           0.00           
24        9.06           9.06           0.00           0.00           
25        6.05           6.05           0.00           0.00           
26        9.22           9.22           0.00           0.00           
27        19.20          19.20          0.00           0.00           
28        10.91          10.91          0.00           0.00           
29        7.32           7.32           0.00           0.00           
30        13.58          13.58          0.00           0.00           
31        9.50           9.50           0.00           0.00           
32        8.75           8.75           0.00           0.00           
33        10.93          10.93          0.00           0.00           
34        6.17           6.17           0.00           0.00           
35        9.68           9.68           0.00           0.00           
36        11.08          11.08          0.00           0.00           
37        11.86          11.86          0.00           0.00           
38        18.10          18.10          0.00           0.00           
39        12.36          12.36          0.00           0.00           
40        10.00          10.00          0.00           0.00           
41        10.44          10.44          0.00           0.00           
42        14.48          14.48          0.00           0.00           
43        6.42           6.42           0.00           0.00           
44        8.25           8.25           0.00           0.00           
45        7.70           7.70           0.00           0.00           
46        13.24          13.24          0.00           0.00           
47        13.36          13.36          0.00           0.00           
48        6.24           6.24           0.00           0.00           
49        8.43           8.43           0.00           0.00           
