Error Distribution Results
Graph Size: 50
Number of Instances: 50
Population Size: 25
Generation: 250

Error Statistics:
Mean Error: 0.2941
Std Error: 0.4802
Mean Relative Error: 4.09%
Max Relative Error: 46.90%

Instance  GA             Exact          Error          Relative Error %
0         11.01          10.53          0.48           4.54           
1         5.89           5.89           0.00           0.00           
2         7.63           7.59           0.04           0.59           
3         7.55           7.55           0.00           0.00           
4         7.69           7.69           0.00           0.00           
5         7.95           7.13           0.81           11.39          
6         10.08          9.98           0.09           0.94           
7         8.82           8.51           0.31           3.68           
8         9.73           9.15           0.58           6.29           
9         6.61           6.61           0.00           0.00           
10        7.92           7.92           0.00           0.00           
11        6.69           6.29           0.40           6.29           
12        8.12           7.04           1.08           15.28          
13        7.57           7.57           0.00           0.00           
14        7.98           7.90           0.07           0.93           
15        8.05           8.05           0.00           0.00           
16        9.35           9.35           0.00           0.00           
17        7.81           6.90           0.90           13.07          
18        7.66           7.66           0.00           0.00           
19        8.30           7.27           1.03           14.17          
20        8.99           8.20           0.79           9.64           
21        8.01           7.74           0.27           3.49           
22        6.24           6.24           0.00           0.00           
23        8.61           8.61           0.00           0.00           
24        7.85           7.85           0.00           0.00           
25        6.17           6.17           0.00           0.00           
26        9.72           8.95           0.77           8.64           
27        6.80           6.80           0.00           0.00           
28        8.81           8.81           0.00           0.00           
29        7.74           7.74           0.00           0.00           
30        6.66           6.66           0.00           0.00           
31        6.68           6.65           0.03           0.43           
32        10.17          8.55           1.62           18.95          
33        8.39           8.18           0.22           2.63           
34        7.67           7.67           0.00           0.00           
35        9.44           8.76           0.68           7.78           
36        7.64           5.20           2.44           46.90          
37        8.72           8.24           0.48           5.82           
38        8.99           8.68           0.31           3.56           
39        7.44           7.44           0.00           0.00           
40        7.48           6.85           0.63           9.14           
41        6.38           6.38           0.00           0.00           
42        9.11           9.11           0.00           0.00           
43        9.74           9.74           0.00           0.00           
44        7.55           7.43           0.12           1.60           
45        4.65           4.55           0.10           2.15           
46        6.93           6.93           0.00           0.00           
47        6.30           6.30           0.01           0.09           
48        7.17           6.71           0.45           6.75           
49        6.55           6.55           0.00           0.00           
