Error Distribution Results
Graph Size: 25
Number of Instances: 50
Population Size: 25
Generation: 250

Error Statistics:
Mean Error: 0.1362
Std Error: 0.3476
Mean Relative Error: 1.66%
Max Relative Error: 27.90%

Instance  GA             Exact          Error          Relative Error %
0         10.38          9.97           0.41           4.07           
1         10.08          9.49           0.59           6.25           
2         9.24           9.24           0.00           0.00           
3         8.36           8.36           0.00           0.00           
4         9.46           9.46           0.00           0.00           
5         8.77           8.77           0.00           0.00           
6         5.38           5.38           0.00           0.00           
7         11.05          10.04          1.00           10.00          
8         8.36           8.36           0.00           0.00           
9         5.66           5.66           0.00           0.00           
10        10.30          10.30          0.00           0.00           
11        9.36           9.36           0.00           0.00           
12        7.93           7.93           0.00           0.00           
13        10.11          10.11          0.00           0.00           
14        7.71           7.71           0.00           0.00           
15        7.46           7.46           0.00           0.00           
16        9.67           9.67           0.00           0.00           
17        13.37          13.01          0.37           2.81           
18        8.22           7.40           0.82           11.07          
19        11.55          11.55          0.00           0.00           
20        9.90           9.90           0.00           0.00           
21        9.41           8.93           0.49           5.48           
22        7.83           7.83           0.00           0.00           
23        8.82           8.77           0.05           0.55           
24        8.98           8.98           0.00           0.00           
25        9.27           9.27           0.00           0.00           
26        10.62          10.62          0.00           0.00           
27        6.77           6.77           0.00           0.00           
28        8.37           8.37           0.00           0.00           
29        9.17           9.17           0.00           0.00           
30        9.20           9.20           0.00           0.00           
31        11.98          11.95          0.03           0.24           
32        10.28          10.28          0.00           0.00           
33        8.10           8.10           0.00           0.00           
34        7.60           7.60           0.00           0.00           
35        7.73           7.73           0.00           0.00           
36        7.34           7.34           0.00           0.00           
37        9.99           9.99           0.00           0.00           
38        9.17           7.17           2.00           27.90          
39        7.11           6.65           0.46           6.87           
40        8.30           8.30           0.00           0.00           
41        7.86           7.86           0.00           0.00           
42        6.54           6.18           0.36           5.78           
43        12.91          12.67          0.24           1.91           
44        7.24           7.24           0.00           0.00           
45        5.91           5.91           0.00           0.00           
46        9.50           9.50           0.00           0.00           
47        6.98           6.98           0.00           0.00           
48        7.26           7.26           0.00           0.00           
49        11.25          11.25          0.00           0.00           
