Error Distribution Results
Graph Size: 25
Number of Instances: 50
Population Size: 5
Generation: 250

Error Statistics:
Mean Error: 0.1206
Std Error: 0.2857
Mean Relative Error: 1.39%
Max Relative Error: 20.17%

Instance  GA             Exact          Error          Relative Error %
0         10.13          9.97           0.16           1.63           
1         5.04           5.04           0.00           0.00           
2         8.36           8.36           0.00           0.00           
3         9.47           9.12           0.34           3.75           
4         8.26           8.26           0.00           0.00           
5         11.31          11.29          0.02           0.15           
6         13.44          12.85          0.59           4.56           
7         9.81           9.29           0.52           5.64           
8         9.32           9.32           0.00           0.00           
9         7.48           7.48           0.00           0.00           
10        6.45           6.45           0.00           0.00           
11        9.48           9.48           0.00           0.00           
12        10.10          10.10          0.00           0.00           
13        11.60          11.60          0.00           0.00           
14        8.04           8.04           0.00           0.00           
15        8.86           8.86           0.00           0.00           
16        10.24          9.49           0.74           7.84           
17        7.37           7.37           0.00           0.00           
18        8.71           8.71           0.00           0.00           
19        7.27           7.27           0.00           0.00           
20        10.88          10.88          0.00           0.00           
21        8.78           8.78           0.00           0.00           
22        10.60          10.60          0.00           0.00           
23        8.88           7.39           1.49           20.17          
24        9.51           9.51           0.00           0.00           
25        10.93          10.72          0.22           2.01           
26        8.52           8.52           0.00           0.00           
27        8.77           8.77           0.00           0.00           
28        11.02          11.02          0.00           0.00           
29        6.52           6.52           0.00           0.00           
30        10.30          10.30          0.00           0.00           
31        10.96          10.90          0.05           0.50           
32        6.31           6.31           0.00           0.00           
33        9.52           9.52           0.00           0.00           
34        9.09           9.09           0.00           0.00           
35        8.74           8.74           0.00           0.00           
36        8.13           7.36           0.77           10.42          
37        8.37           8.37           0.00           0.00           
38        8.13           8.13           0.00           0.00           
39        10.13          10.13          0.00           0.00           
40        7.19           7.19           0.00           0.00           
41        7.38           7.38           0.00           0.00           
42        10.77          10.77          0.00           0.00           
43        8.71           8.12           0.59           7.23           
44        5.74           5.74           0.00           0.00           
45        10.23          10.23          0.00           0.00           
46        6.76           6.76           0.00           0.00           
47        10.43          9.89           0.54           5.43           
48        8.18           8.18           0.00           0.00           
49        8.77           8.77           0.00           0.00           
