Error Distribution Results
Graph Size: 100
Number of Instances: 50

Error Statistics:
Mean Error: 2.1263
Std Error: 0.8545
Mean Relative Error: 30.66%
Max Relative Error: 74.41%

Instance  GA             Exact          Error          Relative Error %
0         10.02          7.05           2.97           42.18          
1         6.90           6.07           0.83           13.63          
2         9.78           6.72           3.07           45.68          
3         9.22           7.45           1.77           23.76          
4         11.26          9.04           2.22           24.52          
5         9.52           6.60           2.92           44.22          
6         10.03          7.01           3.02           43.00          
7         9.15           8.17           0.98           11.94          
8         9.51           5.63           3.89           69.12          
9         7.91           6.86           1.05           15.38          
10        10.68          7.94           2.73           34.42          
11        9.02           7.98           1.03           12.96          
12        9.34           5.90           3.44           58.29          
13        10.80          6.85           3.95           57.72          
14        8.76           6.36           2.39           37.61          
15        7.13           4.54           2.60           57.19          
16        8.81           7.32           1.50           20.47          
17        9.99           8.34           1.64           19.72          
18        10.11          7.73           2.39           30.91          
19        9.57           7.56           2.01           26.65          
20        8.67           6.76           1.92           28.39          
21        9.14           7.24           1.90           26.32          
22        9.85           7.60           2.25           29.61          
23        10.29          8.32           1.97           23.74          
24        8.64           6.44           2.20           34.22          
25        9.25           7.59           1.66           21.79          
26        7.98           6.52           1.46           22.36          
27        10.14          7.39           2.75           37.18          
28        8.32           6.48           1.84           28.32          
29        10.70          7.93           2.77           34.90          
30        8.70           7.76           0.94           12.09          
31        9.13           8.05           1.08           13.45          
32        10.48          7.55           2.92           38.71          
33        8.26           7.44           0.82           11.09          
34        9.44           7.21           2.24           31.02          
35        8.61           7.07           1.54           21.82          
36        9.13           7.74           1.39           17.93          
37        9.95           5.70           4.24           74.41          
38        8.48           7.55           0.93           12.31          
39        9.56           8.25           1.31           15.83          
40        10.08          8.08           2.01           24.89          
41        8.61           7.39           1.22           16.44          
42        9.29           7.49           1.80           24.00          
43        10.10          7.29           2.81           38.56          
44        10.13          8.35           1.78           21.34          
45        9.00           6.02           2.98           49.52          
46        8.54           5.96           2.58           43.30          
47        9.14           6.91           2.24           32.36          
48        7.93           6.73           1.20           17.75          
49        11.08          7.91           3.18           40.16          
