Error Distribution Results
Graph Size: 50
Number of Instances: 50

Error Statistics:
Mean Error: 0.3370
Std Error: 0.4643
Mean Relative Error: 5.09%
Max Relative Error: 29.28%

Instance  GA             Exact          Error          Relative Error %
0         10.53          10.53          0.00           0.00           
1         8.35           6.76           1.59           23.52          
2         8.22           8.22           0.00           0.00           
3         7.41           6.99           0.42           6.05           
4         6.02           6.02           0.00           0.00           
5         6.96           6.96           0.00           0.00           
6         7.49           7.49           0.00           0.00           
7         7.60           7.44           0.16           2.21           
8         6.97           6.97           0.00           0.00           
9         8.78           8.78           0.00           0.00           
10        7.55           7.40           0.15           2.05           
11        6.22           6.22           0.00           0.00           
12        6.91           6.71           0.20           3.04           
13        10.77          10.51          0.26           2.46           
14        7.66           7.66           0.00           0.00           
15        7.61           6.49           1.13           17.34          
16        8.69           8.28           0.41           4.93           
17        7.62           7.25           0.37           5.09           
18        6.35           5.12           1.24           24.19          
19        6.96           6.96           0.00           0.00           
20        9.27           8.23           1.04           12.66          
21        5.91           5.91           0.00           0.00           
22        8.66           8.66           0.00           0.00           
23        7.82           7.82           0.00           0.00           
24        6.99           6.99           0.00           0.00           
25        7.73           7.73           0.00           0.00           
26        9.38           9.38           0.00           0.00           
27        9.68           9.68           0.00           0.00           
28        7.84           6.06           1.78           29.28          
29        8.67           8.67           0.00           0.00           
30        8.61           8.29           0.32           3.82           
31        8.24           8.09           0.15           1.85           
32        7.15           7.15           0.00           0.00           
33        9.72           9.51           0.21           2.20           
34        7.93           7.93           0.00           0.00           
35        9.82           9.53           0.29           3.07           
36        9.23           8.05           1.18           14.65          
37        5.84           4.96           0.88           17.86          
38        7.91           7.45           0.46           6.13           
39        6.55           5.37           1.19           22.10          
40        7.80           7.34           0.46           6.23           
41        8.58           8.58           0.00           0.00           
42        8.57           8.57           0.00           0.00           
43        7.97           7.32           0.65           8.82           
44        6.91           6.91           0.00           0.00           
45        8.43           7.86           0.56           7.14           
46        8.65           7.90           0.75           9.49           
47        5.89           5.06           0.82           16.23          
48        8.51           8.32           0.19           2.28           
49        6.87           6.87           0.00           0.00           
